# Matter power spectrum P(k) at redshift z=0
# for k=1.04769e-05 to 1.50104 h/Mpc,
# number of wavenumbers equal to 525
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.357378533497e-02       2.427097850713e+04 
       1.370332807633e-02       2.431440787440e+04 
       1.383290719305e-02       2.435552762189e+04 
       1.396252280503e-02       2.439396799601e+04 
       1.409217505513e-02       2.443173547385e+04 
       1.422186410886e-02       2.446663040309e+04 
       1.435159015400e-02       2.449966551252e+04 
       1.448135340035e-02       2.453053099732e+04 
       1.461115407942e-02       2.455950795713e+04 
       1.474099244427e-02       2.458651802562e+04 
       1.487086876923e-02       2.461164529242e+04 
       1.500078334980e-02       2.463487260697e+04 
       1.513073650245e-02       2.465621545832e+04 
       1.526072856451e-02       2.467566699538e+04 
       1.539075989412e-02       2.469332253548e+04 
       1.552083087009e-02       2.470918673898e+04 
       1.565094189189e-02       2.472333897966e+04 
       1.578109337963e-02       2.473566314371e+04 
       1.591128577403e-02       2.474618135980e+04 
       1.604151953645e-02       2.475499666557e+04 
       1.617179514894e-02       2.476230379385e+04 
       1.630211311427e-02       2.476773889990e+04 
       1.643247395602e-02       2.477164246020e+04 
       1.656287821868e-02       2.477389352769e+04 
       1.669332646773e-02       2.477448034319e+04 
       1.682381928984e-02       2.477358286091e+04 
       1.695435729293e-02       2.477111228132e+04 
       1.708494110642e-02       2.476641255336e+04 
       1.721557138137e-02       2.476157912772e+04 
       1.734624879067e-02       2.475450439196e+04 
       1.747697402930e-02       2.474608114365e+04 
       1.760774781453e-02       2.473615462586e+04 
       1.773857088619e-02       2.472482567170e+04 
       1.786944400693e-02       2.471206064660e+04 
       1.800036796251e-02       2.469741141968e+04 
       1.813134356210e-02       2.468236713278e+04 
       1.826237163860e-02       2.466456617200e+04 
       1.839345304898e-02       2.464733800009e+04 
       1.852458867462e-02       2.462783229988e+04 
       1.865577942168e-02       2.460703596107e+04 
       1.878702622150e-02       2.458422760921e+04 
       1.891833003099e-02       2.456155440409e+04 
       1.904969183306e-02       2.453713004764e+04 
       1.918111263705e-02       2.451058824094e+04 
       1.931259347918e-02       2.448378025400e+04 
       1.944413542303e-02       2.445632250894e+04 
       1.957573956004e-02       2.442704984290e+04 
       1.970740701000e-02       2.439651190470e+04 
       1.983913892160e-02       2.436502320006e+04 
       1.997093647295e-02       2.433176134035e+04 
       2.010280087219e-02       2.429834580584e+04 
       2.023473335801e-02       2.426336817863e+04 
       2.036673520032e-02       2.422811299415e+04 
       2.049880770086e-02       2.419137928481e+04 
       2.063095219382e-02       2.415284813908e+04 
       2.076317004654e-02       2.411462737707e+04 
       2.089546266019e-02       2.407412951613e+04 
       2.102783147050e-02       2.403417401024e+04 
       2.116027794845e-02       2.399238233026e+04 
       2.129280360111e-02       2.394891166736e+04 
       2.142540997234e-02       2.390527542887e+04 
       2.155809864366e-02       2.386087130786e+04 
       2.169087123507e-02       2.381564660688e+04 
       2.182372940589e-02       2.376962509593e+04 
       2.195667485569e-02       2.372261699087e+04 
       2.208970932518e-02       2.367473602688e+04 
       2.222283459716e-02       2.362610780914e+04 
       2.235605249748e-02       2.357659139374e+04 
       2.248936489611e-02       2.352646825788e+04 
       2.262277370808e-02       2.347547820684e+04 
       2.275628089463e-02       2.342446521223e+04 
       2.288988846430e-02       2.337132399239e+04 
       2.302359847402e-02       2.331824853269e+04 
       2.315741303034e-02       2.326430731592e+04 
       2.329133429061e-02       2.321039036375e+04 
       2.342536446425e-02       2.315454943882e+04 
       2.355950581401e-02       2.309923578378e+04 
       2.369376065732e-02       2.304222803348e+04 
       2.382813136766e-02       2.298492050792e+04 
       2.396262037596e-02       2.292721006236e+04 
       2.409723017208e-02       2.286937248613e+04 
       2.423196330628e-02       2.281014740438e+04 
       2.436682239084e-02       2.275046368640e+04 
       2.450181010158e-02       2.269085160375e+04 
       2.463692917958e-02       2.263004053449e+04 
       2.477218243289e-02       2.256824007110e+04 
       2.490757273823e-02       2.250652604665e+04 
       2.504310304290e-02       2.244441639785e+04 
       2.517877636659e-02       2.238205816299e+04 
       2.531459580339e-02       2.231900866172e+04 
       2.545056452376e-02       2.225461380325e+04 
       2.558668577660e-02       2.219045023139e+04 
       2.572296289143e-02       2.212602109376e+04 
       2.585939928062e-02       2.206111447994e+04 
       2.599599844162e-02       2.199555741454e+04 
       2.613276395941e-02       2.192965679919e+04 
       2.626969950891e-02       2.186338847698e+04 
       2.640680885754e-02       2.179686857091e+04 
       2.654409586786e-02       2.172966118815e+04 
       2.668156450025e-02       2.166217363536e+04 
       2.681921881578e-02       2.159468262034e+04 
       2.695706297909e-02       2.152632678010e+04 
       2.709510126144e-02       2.145828583323e+04 
       2.723333804382e-02       2.138918102943e+04 
       2.737177782019e-02       2.132043516546e+04 
       2.751042520089e-02       2.125072546244e+04 
       2.764928491605e-02       2.118102378789e+04 
       2.778836181928e-02       2.111130873482e+04 
       2.792766089137e-02       2.104081940025e+04 
       2.806718724419e-02       2.097080684920e+04 
       2.820694612475e-02       2.089969355835e+04 
       2.834694291936e-02       2.082856145417e+04 
       2.848718315800e-02       2.075737234596e+04 
       2.862767251884e-02       2.068595611540e+04 
       2.876841683293e-02       2.061428554051e+04 
       2.890942208906e-02       2.054237132922e+04 
       2.905069443889e-02       2.047071453789e+04 
       2.919224020214e-02       2.039830528038e+04 
       2.933406587217e-02       2.032558405836e+04 
       2.947617812160e-02       2.025294946956e+04 
       2.961858380832e-02       2.018014594878e+04 
       2.976128998162e-02       2.010717104406e+04 
       2.990430388870e-02       2.003408058386e+04 
       3.004763298130e-02       1.996078596223e+04 
       3.019128492275e-02       1.988743917346e+04 
       3.033526759526e-02       1.981393425413e+04 
       3.047958910748e-02       1.974028918364e+04 
       3.062425780250e-02       1.966656168303e+04 
       3.076928226607e-02       1.959265235845e+04 
       3.091467133527e-02       1.951911274807e+04 
       3.106043410755e-02       1.944465514857e+04 
       3.120657995014e-02       1.937051271367e+04 
       3.135311850992e-02       1.929623625865e+04 
       3.150005972372e-02       1.922225460995e+04 
       3.164741382913e-02       1.914761974121e+04 
       3.179519137574e-02       1.907344403678e+04 
       3.194340323700e-02       1.899866406183e+04 
       3.209206062257e-02       1.892412766858e+04 
       3.224117509128e-02       1.884962992321e+04 
       3.239075856472e-02       1.877487499696e+04 
       3.254082334154e-02       1.870020969162e+04 
       3.269138211233e-02       1.862550977258e+04 
       3.284244797535e-02       1.855091583331e+04 
       3.299403445306e-02       1.847588353893e+04 
       3.314615550935e-02       1.840117373557e+04 
       3.329882556783e-02       1.832653274430e+04 
       3.345205953094e-02       1.825168282000e+04 
       3.360587280010e-02       1.817690711900e+04 
       3.376028129694e-02       1.810203104648e+04 
       3.391530148562e-02       1.802704397245e+04 
       3.407095039644e-02       1.795219885015e+04 
       3.422724565061e-02       1.787742661120e+04 
       3.438420548648e-02       1.780280086435e+04 
       3.454184878722e-02       1.772793183733e+04 
       3.470019511003e-02       1.765304866090e+04 
       3.485926471702e-02       1.757857209829e+04 
       3.501907860789e-02       1.750360355051e+04 
       3.517965855450e-02       1.742881512468e+04 
       3.534102713746e-02       1.735426007840e+04 
       3.550320778496e-02       1.727959716731e+04 
       3.566622481384e-02       1.720495960402e+04 
       3.583010347328e-02       1.713037125074e+04 
       3.599486999111e-02       1.705582802718e+04 
       3.616055162306e-02       1.698141164728e+04 
       3.632717670509e-02       1.690680318061e+04 
       3.649477470912e-02       1.683240727979e+04 
       3.666337630232e-02       1.675799580886e+04 
       3.683301341034e-02       1.668349539876e+04 
       3.700371928474e-02       1.660922158641e+04 
       3.717552857495e-02       1.653499778152e+04 
       3.734847740515e-02       1.646062876540e+04 
       3.752260345652e-02       1.638649153625e+04 
       3.769794605517e-02       1.631232599703e+04 
       3.787454626639e-02       1.623802003494e+04 
       3.805244699572e-02       1.616385590554e+04 
       3.823169309731e-02       1.608979364876e+04 
       3.841233149042e-02       1.601573788325e+04 
       3.859441128463e-02       1.594189437384e+04 
       3.877798391463e-02       1.586773909407e+04 
       3.896310328543e-02       1.579366886501e+04 
       3.914982592901e-02       1.572004347397e+04 
       3.933821117342e-02       1.564572954992e+04 
