# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
   70       2.500664679733e-10       4.381804129612e-14      -7.603086875381e-13       0.000000000000e+00 
   71       2.533330176283e-10       4.558295974771e-14      -8.203192712477e-13       0.000000000000e+00 
   72       2.566307181017e-10       4.737747464973e-14      -8.820153973904e-13       0.000000000000e+00 
   73       2.599604513117e-10       4.920049559840e-14      -9.453652759994e-13       0.000000000000e+00 
   74       2.633231163491e-10       5.105082366093e-14      -1.010326273099e-12       0.000000000000e+00 
   75       2.667192091277e-10       5.292718516729e-14      -1.076851788008e-12       0.000000000000e+00 
   76       2.701487981225e-10       5.482823052875e-14      -1.144891181165e-12       0.000000000000e+00 
   77       2.736115001073e-10       5.675253305638e-14      -1.214389701958e-12       0.000000000000e+00 
   78       2.771064558920e-10       5.869858777954e-14      -1.285288416551e-12       0.000000000000e+00 
   79       2.806323060605e-10       6.066481026438e-14      -1.357524135713e-12       0.000000000000e+00 
   80       2.841877440220e-10       6.264958865026e-14      -1.431034951105e-12       0.000000000000e+00 
   81       2.877733391505e-10       6.465145276540e-14      -1.505778110168e-12       0.000000000000e+00 
   82       2.913899874538e-10       6.666893236153e-14      -1.581715128277e-12       0.000000000000e+00 
   83       2.950383490198e-10       6.870050631165e-14      -1.658806487202e-12       0.000000000000e+00 
   84       2.987188344448e-10       7.074460241403e-14      -1.737011666799e-12       0.000000000000e+00 
   85       3.024315912622e-10       7.279959719626e-14      -1.816289176692e-12       0.000000000000e+00 
   86       3.061764903717e-10       7.486381571926e-14      -1.896596587966e-12       0.000000000000e+00 
   87       3.099531124670e-10       7.693553138127e-14      -1.977890564853e-12       0.000000000000e+00 
   88       3.137607344653e-10       7.901296572194e-14      -2.060126896420e-12       0.000000000000e+00 
   89       3.175986349429e-10       8.109431224919e-14      -2.143258752089e-12       0.000000000000e+00 
   90       3.214670949356e-10       8.317781263086e-14      -2.227231065501e-12       0.000000000000e+00 
   91       3.253665298578e-10       8.526169214959e-14      -2.311985323943e-12       0.000000000000e+00 
   92       3.292971758015e-10       8.734413690550e-14      -2.397461271105e-12       0.000000000000e+00 
   93       3.332590807436e-10       8.942329398015e-14      -2.483596912156e-12       0.000000000000e+00 
   94       3.372520957541e-10       9.149727160037e-14      -2.570328518824e-12       0.000000000000e+00 
   95       3.412758662038e-10       9.356413930225e-14      -2.657590634474e-12       0.000000000000e+00 
   96       3.453298229719e-10       9.562192809503e-14      -2.745316079187e-12       0.000000000000e+00 
   97       3.494131736539e-10       9.766863062500e-14      -2.833435954838e-12       0.000000000000e+00 
   98       3.535248937694e-10       9.970220133941e-14      -2.921879650178e-12       0.000000000000e+00 
   99       3.576639823954e-10       1.017206039063e-13      -3.010576239786e-12       0.000000000000e+00 
  100       3.618302893871e-10       1.037219607836e-13      -3.099458896044e-12       0.000000000000e+00 
  101       3.660237895376e-10       1.057044252380e-13      -3.188461114428e-12       0.000000000000e+00 
  102       3.702443230886e-10       1.076661367068e-13      -3.277515397070e-12       0.000000000000e+00 
  103       3.744915901439e-10       1.096052215346e-13      -3.366553274742e-12       0.000000000000e+00 
  104       3.787651450815e-10       1.115197937099e-13      -3.455505328824e-12       0.000000000000e+00 
  105       3.830643909673e-10       1.134079556018e-13      -3.544301213282e-12       0.000000000000e+00 
  106       3.873885739677e-10       1.152677986967e-13      -3.632869676638e-12       0.000000000000e+00 
  107       3.917367777625e-10       1.170974043353e-13      -3.721138583948e-12       0.000000000000e+00 
  108       3.961079179578e-10       1.188948444488e-13      -3.809034938778e-12       0.000000000000e+00 
  109       4.005007364990e-10       1.206581822960e-13      -3.896484905172e-12       0.000000000000e+00 
  110       4.049140205681e-10       1.223855207298e-13      -3.983414460120e-12       0.000000000000e+00 
  111       4.093473030999e-10       1.240751524359e-13      -4.069751398700e-12       0.000000000000e+00 
  112       4.138002418780e-10       1.257254303896e-13      -4.155423627866e-12       0.000000000000e+00 
  113       4.182723997223e-10       1.273347232348e-13      -4.240358586748e-12       0.000000000000e+00 
  114       4.227632411084e-10       1.289014164876e-13      -4.324483274825e-12       0.000000000000e+00 
  115       4.272721287866e-10       1.304239137405e-13      -4.407724280088e-12       0.000000000000e+00 
  116       4.317983204010e-10       1.319006378660e-13      -4.490007807223e-12       0.000000000000e+00 
  117       4.363409651089e-10       1.333300322206e-13      -4.571259705769e-12       0.000000000000e+00 
  118       4.408991002000e-10       1.347105618482e-13      -4.651405498298e-12       0.000000000000e+00 
  119       4.454716477150e-10       1.360407146846e-13      -4.730370408583e-12       0.000000000000e+00 
