# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
   70       2.500658914631e-10       4.381657630973e-14      -7.602780263617e-13       0.000000000000e+00 
   71       2.533323869185e-10       4.558147792509e-14      -8.202880519402e-13       0.000000000000e+00 
   72       2.566299761765e-10       4.737597743593e-14      -8.819835996003e-13       0.000000000000e+00 
   73       2.599595492319e-10       4.919898443299e-14      -9.453328710677e-13       0.000000000000e+00 
   74       2.633220192066e-10       5.104929990909e-14      -1.010293232286e-12       0.000000000000e+00 
   75       2.667178978643e-10       5.292565010485e-14      -1.076818082668e-12       0.000000000000e+00 
   76       2.701472714117e-10       5.482668532663e-14      -1.144856782930e-12       0.000000000000e+00 
   77       2.736097763004e-10       5.675097876452e-14      -1.214354582929e-12       0.000000000000e+00 
   78       2.771045750281e-10       5.869702531028e-14      -1.285252549500e-12       0.000000000000e+00 
   79       2.806303319399e-10       6.066324037532e-14      -1.357487494290e-12       0.000000000000e+00 
   80       2.841857597574e-10       6.264801195481e-14      -1.430997511112e-12       0.000000000000e+00 
   81       2.877714217066e-10       6.464986983331e-14      -1.505739854239e-12       0.000000000000e+00 
   82       2.913881996488e-10       6.666734374416e-14      -1.581676047766e-12       0.000000000000e+00 
   83       2.950367377316e-10       6.869891254035e-14      -1.658766583084e-12       0.000000000000e+00 
   84       2.987174287597e-10       7.074300399851e-14      -1.736970950603e-12       0.000000000000e+00 
   85       3.024304005652e-10       7.279799462290e-14      -1.816247671465e-12       0.000000000000e+00 
   86       3.061755023781e-10       7.486220944946e-14      -1.896554329257e-12       0.000000000000e+00 
   87       3.099522911970e-10       7.693392184976e-14      -1.977847601736e-12       0.000000000000e+00 
   88       3.137600181594e-10       7.901135333504e-14      -2.060083292534e-12       0.000000000000e+00 
   89       3.175979402722e-10       8.109269739644e-14      -2.143214581018e-12       0.000000000000e+00 
   90       3.214663413533e-10       8.317619573882e-14      -2.227186388072e-12       0.000000000000e+00 
   91       3.253656468765e-10       8.526007370012e-14      -2.311940180811e-12       0.000000000000e+00 
   92       3.292961042357e-10       8.734251744141e-14      -2.397415680716e-12       0.000000000000e+00 
   93       3.332577739895e-10       8.942167411103e-14      -2.483550868655e-12       0.000000000000e+00 
   94       3.372505211060e-10       9.149565200868e-14      -2.570281989908e-12       0.000000000000e+00 
   95       3.412740062078e-10       9.356252074951e-14      -2.657543559184e-12       0.000000000000e+00 
   96       3.453276768169e-10       9.562031142822e-14      -2.745268365645e-12       0.000000000000e+00 
   97       3.494107585991e-10       9.766701678317e-14      -2.833387477929e-12       0.000000000000e+00 
   98       3.535222466090e-10       9.970059136043e-14      -2.921830249166e-12       0.000000000000e+00 
   99       3.576611565871e-10       1.017189989131e-13      -3.010525726101e-12       0.000000000000e+00 
  100       3.618273383895e-10       1.037203619051e-13      -3.099407093325e-12       0.000000000000e+00 
  101       3.660207620448e-10       1.057028335865e-13      -3.188407870785e-12       0.000000000000e+00 
  102       3.702412624486e-10       1.076645533750e-13      -3.277460587610e-12       0.000000000000e+00 
  103       3.744885337603e-10       1.096036475926e-13      -3.366496804151e-12       0.000000000000e+00 
  104       3.787621238002e-10       1.115182302022e-13      -3.455447134026e-12       0.000000000000e+00 
  105       3.830614284466e-10       1.134064035443e-13      -3.544241266155e-12       0.000000000000e+00 
  106       3.873856860322e-10       1.152662590733e-13      -3.632807986803e-12       0.000000000000e+00 
  107       3.917339717416e-10       1.170958780949e-13      -3.721075201625e-12       0.000000000000e+00 
  108       3.961051920083e-10       1.188933325018e-13      -3.808969957699e-12       0.000000000000e+00 
  109       4.004980789109e-10       1.206566855111e-13      -3.896418465573e-12       0.000000000000e+00 
  110       4.049114111274e-10       1.223840399399e-13      -3.983346742840e-12       0.000000000000e+00 
  111       4.093447209537e-10       1.240736884740e-13      -4.069682591197e-12       0.000000000000e+00 
  112       4.137976677029e-10       1.257239840989e-13      -4.155353914829e-12       0.000000000000e+00 
  113       4.182698159000e-10       1.273332954687e-13      -4.240288149324e-12       0.000000000000e+00 
  114       4.227606319049e-10       1.289000081111e-13      -4.324412289815e-12       0.000000000000e+00 
  115       4.272694805362e-10       1.304225256301e-13      -4.407652919134e-12       0.000000000000e+00 
  116       4.317956216948e-10       1.318992709110e-13      -4.489936235962e-12       0.000000000000e+00 
  117       4.363382069875e-10       1.333286873234e-13      -4.571188082973e-12       0.000000000000e+00 
  118       4.408962763502e-10       1.347092399256e-13      -4.651333974989e-12       0.000000000000e+00 
  119       4.454687546720e-10       1.360394166679e-13      -4.730299127127e-12       0.000000000000e+00 
