# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.451143255995e-10       4.262894300232e-15       3.386279610110e-13       0.000000000000e+00 
    3       1.354810425258e-10       5.367552353991e-15       3.834568056453e-13       0.000000000000e+00 
    4       1.270821406222e-10       4.544517443435e-15       3.586780862420e-13       0.000000000000e+00 
    5       1.209701100020e-10       2.965040579487e-15       3.046192785880e-13       0.000000000000e+00 
    6       1.168310339102e-10       1.635862124000e-15       2.445343652380e-13       0.000000000000e+00 
    7       1.141562701082e-10       9.005570922705e-16       1.916904864100e-13       0.000000000000e+00 
    8       1.125822480922e-10       6.113898545527e-16       1.517088457624e-13       0.000000000000e+00 
    9       1.118449390458e-10       5.051789960891e-16       1.255814087001e-13       0.000000000000e+00 
   10       1.116611459900e-10       4.280053387980e-16       1.117164768277e-13       0.000000000000e+00 
   11       1.119375942991e-10       3.533685276738e-16       1.072969166405e-13       0.000000000000e+00 
   12       1.125709483795e-10       3.037238351378e-16       1.091624717240e-13       0.000000000000e+00 
   13       1.134349085559e-10       2.891069956743e-16       1.146128971425e-13       0.000000000000e+00 
   14       1.145561444385e-10       2.988218319099e-16       1.217163694355e-13       0.000000000000e+00 
   15       1.158082722613e-10       3.204453690753e-16       1.292641112435e-13       0.000000000000e+00 
   16       1.172315547264e-10       3.524632922959e-16       1.367355308087e-13       0.000000000000e+00 
   17       1.187781569330e-10       4.009059374003e-16       1.440625748685e-13       0.000000000000e+00 
   18       1.204173127997e-10       4.706692807211e-16       1.514747875857e-13       0.000000000000e+00 
   19       1.221685587887e-10       5.615346885904e-16       1.592633620328e-13       0.000000000000e+00 
   20       1.240046002781e-10       6.709952566553e-16       1.676738788155e-13       0.000000000000e+00 
   21       1.259235034066e-10       7.983584279506e-16       1.765969200351e-13       0.000000000000e+00 
   22       1.279016693436e-10       9.432816806639e-16       1.857316112593e-13       0.000000000000e+00 
   23       1.299484677311e-10       1.106157032192e-15       1.947742412379e-13       0.000000000000e+00 
   24       1.320612214613e-10       1.287433890067e-15       2.033646001208e-13       0.000000000000e+00 
   25       1.342361124309e-10       1.487270795820e-15       2.111588457015e-13       0.000000000000e+00 
   26       1.364560967292e-10       1.705948919196e-15       2.178407112485e-13       0.000000000000e+00 
   27       1.387311139953e-10       1.945390998470e-15       2.233851901583e-13       0.000000000000e+00 
   28       1.410682993434e-10       2.208009177201e-15       2.278703065572e-13       0.000000000000e+00 
   29       1.434716971836e-10       2.495190332871e-15       2.313154737913e-13       0.000000000000e+00 
   30       1.459301391130e-10       2.807983451136e-15       2.337398103334e-13       0.000000000000e+00 
   31       1.484219497513e-10       3.147380770811e-15       2.351695662545e-13       0.000000000000e+00 
   32       1.509520338658e-10       3.514310125765e-15       2.355770384571e-13       0.000000000000e+00 
   33       1.535260872997e-10       3.909627799353e-15       2.349190830463e-13       0.000000000000e+00 
   34       1.561431099039e-10       4.334147146773e-15       2.331349251346e-13       0.000000000000e+00 
   35       1.588071081506e-10       4.788755797417e-15       2.300846367026e-13       0.000000000000e+00 
   36       1.615177815662e-10       5.274331832296e-15       2.255865104383e-13       0.000000000000e+00 
   37       1.642703242681e-10       5.791699112421e-15       2.194692028541e-13       0.000000000000e+00 
   38       1.670684575424e-10       6.341592317904e-15       2.117018756313e-13       0.000000000000e+00 
   39       1.699145146948e-10       6.924673285437e-15       2.023072644134e-13       0.000000000000e+00 
   40       1.728052005869e-10       7.541534660322e-15       1.913284269092e-13       0.000000000000e+00 
   41       1.757339817165e-10       8.192730161014e-15       1.788120490602e-13       0.000000000000e+00 
   42       1.787006052842e-10       8.878887946329e-15       1.647488461835e-13       0.000000000000e+00 
   43       1.817036895171e-10       9.600626644117e-15       1.491158479127e-13       0.000000000000e+00 
   44       1.847376371093e-10       1.035852177455e-14       1.318926649315e-13       0.000000000000e+00 
   45       1.877959668090e-10       1.115310635778e-14       1.130562804089e-13       0.000000000000e+00 
   46       1.908833987181e-10       1.198487785256e-14       9.256355976257e-14       0.000000000000e+00 
   47       1.940067303302e-10       1.285428975558e-14       7.036351753470e-14       0.000000000000e+00 
   48       1.971712707088e-10       1.376174722055e-14       4.640178606142e-14       0.000000000000e+00 
   49       2.003806713074e-10       1.470760513399e-14       2.062031857026e-14       0.000000000000e+00 
   50       2.036366931235e-10       1.569214632747e-14      -7.034368940495e-15       0.000000000000e+00 
   51       2.069388261471e-10       1.671551370680e-14      -3.658314584887e-14       0.000000000000e+00 
   52       2.102842741777e-10       1.777775637385e-14      -6.803521761773e-14       0.000000000000e+00 
   53       2.136678413714e-10       1.887884508865e-14      -1.013958966425e-13       0.000000000000e+00 
   54       2.170817600645e-10       2.001866941043e-14      -1.366664973288e-13       0.000000000000e+00 
   55       2.205183559666e-10       2.119707588554e-14      -1.738451310829e-13       0.000000000000e+00 
   56       2.239792135072e-10       2.241400027055e-14      -2.129295629234e-13       0.000000000000e+00 
   57       2.274679857780e-10       2.366936314841e-14      -2.539148807330e-13       0.000000000000e+00 
   58       2.309876963619e-10       2.496303052697e-14      -2.967925891792e-13       0.000000000000e+00 
   59       2.345406777040e-10       2.629481257918e-14      -3.415505398532e-13       0.000000000000e+00 
   60       2.381285094821e-10       2.766446238331e-14      -3.881728614088e-13       0.000000000000e+00 
   61       2.417522285996e-10       2.907163361949e-14      -4.366427199262e-13       0.000000000000e+00 
   62       2.454131536664e-10       3.051574541338e-14      -4.869514820788e-13       0.000000000000e+00 
   63       2.491121370617e-10       3.199608478165e-14      -5.390914941282e-13       0.000000000000e+00 
   64       2.528492576818e-10       3.351184248728e-14      -5.930534527378e-13       0.000000000000e+00 
   65       2.566237679293e-10       3.506211047756e-14      -6.488264249123e-13       0.000000000000e+00 
   66       2.604340407027e-10       3.664587932197e-14      -7.063978679378e-13       0.000000000000e+00 
   67       2.642775163850e-10       3.826203565014e-14      -7.657536493215e-13       0.000000000000e+00 
   68       2.681516325844e-10       3.990944876989e-14      -8.268759287635e-13       0.000000000000e+00 
   69       2.720569506127e-10       4.158725662909e-14      -8.897362611411e-13       0.000000000000e+00 
   70       2.759945701936e-10       4.329463346084e-14      -9.543011254072e-13       0.000000000000e+00 
   71       2.799651753873e-10       4.503070545394e-14      -1.020533904790e-12       0.000000000000e+00 
   72       2.839690067135e-10       4.679455047165e-14      -1.088394852053e-12       0.000000000000e+00 
   73       2.880058332758e-10       4.858519777044e-14      -1.157841054755e-12       0.000000000000e+00 
   74       2.920749248842e-10       5.040162771876e-14      -1.228826400513e-12       0.000000000000e+00 
   75       2.961750241797e-10       5.224277151578e-14      -1.301301542258e-12       0.000000000000e+00 
   76       3.003048531531e-10       5.410747921691e-14      -1.375216698370e-12       0.000000000000e+00 
   77       3.044648009630e-10       5.599441770044e-14      -1.450530719368e-12       0.000000000000e+00 
   78       3.086554946838e-10       5.790215349721e-14      -1.527203619137e-12       0.000000000000e+00 
   79       3.128772755693e-10       5.982918191715e-14      -1.605193909752e-12       0.000000000000e+00 
   80       3.171301821347e-10       6.177392611817e-14      -1.684458624863e-12       0.000000000000e+00 
   81       3.214139332381e-10       6.373473617497e-14      -1.764953343092e-12       0.000000000000e+00 
   82       3.257279111624e-10       6.570988814795e-14      -1.846632211423e-12       0.000000000000e+00 
   83       3.300711446971e-10       6.769758315203e-14      -1.929447968593e-12       0.000000000000e+00 
   84       3.344426489143e-10       6.969600237105e-14      -2.013350907224e-12       0.000000000000e+00 
   85       3.388425462773e-10       7.170348461939e-14      -2.098285511295e-12       0.000000000000e+00 
   86       3.432711012334e-10       7.371837664596e-14      -2.184193301532e-12       0.000000000000e+00 
   87       3.477283692819e-10       7.573897981488e-14      -2.271013852575e-12       0.000000000000e+00 
   88       3.522141860506e-10       7.776355011459e-14      -2.358684798536e-12       0.000000000000e+00 
   89       3.567281563721e-10       7.979029816695e-14      -2.447141838553e-12       0.000000000000e+00 
   90       3.612696433609e-10       8.181738923642e-14      -2.536318742344e-12       0.000000000000e+00 
   91       3.658377574898e-10       8.384294323911e-14      -2.626147355767e-12       0.000000000000e+00 
   92       3.704313456664e-10       8.586503475196e-14      -2.716557606370e-12       0.000000000000e+00 
   93       3.750492793727e-10       8.788172741108e-14      -2.807478838033e-12       0.000000000000e+00 
   94       3.796913923812e-10       8.989118300517e-14      -2.898844032427e-12       0.000000000000e+00 
   95       3.843576645313e-10       9.189156888293e-14      -2.990586235689e-12       0.000000000000e+00 
   96       3.890479285058e-10       9.388102550057e-14      -3.082637309388e-12       0.000000000000e+00 
   97       3.937618630131e-10       9.585766690292e-14      -3.174927954327e-12       0.000000000000e+00 
   98       3.984989859687e-10       9.781958120463e-14      -3.267387734342e-12       0.000000000000e+00 
   99       4.032586476770e-10       9.976483107135e-14      -3.359945100100e-12       0.000000000000e+00 
  100       4.080400240133e-10       1.016914542009e-13      -3.452527412902e-12       0.000000000000e+00 
  101       4.128421096053e-10       1.035974638044e-13      -3.545060968477e-12       0.000000000000e+00 
