# Matter power spectrum P(k) at redshift z=0
# for k=9.93338e-06 to 1.49034 h/Mpc,
# number of wavenumbers equal to 549
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.933383964535e-06       7.763361530126e+05 
       2.242172197766e-05       7.006292805471e+04 
       3.495084932733e-05       2.036861205556e+04 
       4.755244721343e-05       9.310089118116e+03 
       6.025868552386e-05       5.451835819240e+03 
       7.310249252574e-05       3.734712502393e+03 
       8.611783263227e-05       2.846978905005e+03 
       9.933999573618e-05       2.341401980695e+03 
       1.128059016282e-04       2.035161394913e+03 
       1.265544230499e-04       1.843209265758e+03 
       1.406267309446e-04       1.721883024048e+03 
       1.550666654418e-04       1.646969449237e+03 
       1.699211360047e-04       1.604243767482e+03 
       1.852405539330e-04       1.584964543974e+03 
       2.010792999855e-04       1.583528772314e+03 
       2.174962291731e-04       1.596252736662e+03 
       2.345552136672e-04       1.620678794585e+03 
       2.523257231102e-04       1.655130968893e+03 
       2.708834392380e-04       1.698498074608e+03 
       2.903108983803e-04       1.750054696143e+03 
       3.106981508477e-04       1.809356172671e+03 
       3.321434201342e-04       1.876177856161e+03 
       3.547537369753e-04       1.950460130682e+03 
       3.786455133340e-04       2.032278175278e+03 
       4.039450092339e-04       2.121820568073e+03 
       4.307886311318e-04       2.219369411831e+03 
       4.593229848087e-04       2.325284973620e+03 
       4.897045898038e-04       2.439998991818e+03 
       5.220991484255e-04       2.563990039728e+03 
       5.566802537353e-04       2.697782617649e+03 
       5.936274222812e-04       2.841923881366e+03 
       6.331233544248e-04       2.996966529513e+03 
       6.753503637533e-04       3.163457547756e+03 
       7.204859817843e-04       3.341899338203e+03 
       7.686978357440e-04       3.532740212487e+03 
       8.201380100404e-04       3.736339058415e+03 
       8.749372220969e-04       3.952940575558e+03 
       9.331992479829e-04       4.182654277929e+03 
       9.949960952326e-04       4.425443214751e+03 
       1.060364414020e-03       4.681085165192e+03 
       1.129303549570e-03       4.949214202157e+03 
       1.201775473823e-03       5.229273930402e+03 
       1.277706619859e-03       5.520579535971e+03 
       1.356991420875e-03       5.822306071820e+03 
       1.439497171899e-03       6.132128768425e+03 
       1.525069720894e-03       6.451112395601e+03 
       1.613539469902e-03       6.780429335016e+03 
       1.704727217907e-03       7.119506780291e+03 
       1.798449480961e-03       7.467731003600e+03 
       1.894523052211e-03       7.821322340888e+03 
       1.992768688243e-03       8.115389715548e+03 
       2.093013910847e-03       8.410322032561e+03 
       2.195094986820e-03       8.711594635890e+03 
       2.298858192497e-03       9.020790124536e+03 
       2.404160489025e-03       9.337469973486e+03 
       2.510869735638e-03       9.659599408064e+03 
       2.618864557914e-03       9.985746810748e+03 
       2.728033971769e-03       1.031410683186e+04 
       2.838276845660e-03       1.064344380536e+04 
       2.949501265701e-03       1.097276492498e+04 
       3.061623852565e-03       1.130111777063e+04 
       3.174569065681e-03       1.162798707377e+04 
       3.288268519520e-03       1.195250443018e+04 
       3.402660328394e-03       1.227461216388e+04 
       3.517688489889e-03       1.259371435816e+04 
       3.633302312463e-03       1.290973673916e+04 
       3.749455889430e-03       1.322232959681e+04 
       3.866107619346e-03       1.353133917878e+04 
       3.983219771266e-03       1.383653044886e+04 
       4.100758092469e-03       1.413784314727e+04 
       4.218691455705e-03       1.443511854644e+04 
       4.336991542778e-03       1.472831042829e+04 
       4.455632561236e-03       1.501745452721e+04 
       4.574590991033e-03       1.530234394471e+04 
       4.693845358151e-03       1.558299970824e+04 
       4.813376032407e-03       1.585947367962e+04 
       4.933165046873e-03       1.613155832671e+04 
       5.053195936580e-03       1.639791835194e+04 
       5.173453594378e-03       1.665664277266e+04 
       5.293924142076e-03       1.691112291042e+04 
       5.414594815155e-03       1.716155028156e+04 
       5.535453859537e-03       1.740702167474e+04 
       5.656490439088e-03       1.764841209239e+04 
       5.777694552627e-03       1.788527431599e+04 
       5.899056959429e-03       1.811808894504e+04 
       6.020569112240e-03       1.834631770307e+04 
       6.142223097016e-03       1.857043447477e+04 
       6.264011578627e-03       1.879034976119e+04 
       6.385927751889e-03       1.900618088842e+04 
       6.507965297352e-03       1.921766446367e+04 
       6.630118341331e-03       1.942491315477e+04 
       6.752381419728e-03       1.962826538541e+04 
       6.874749445266e-03       1.982746269192e+04 
       6.997217677748e-03       2.002266190134e+04 
       7.119781697065e-03       2.021387686918e+04 
       7.242437378643e-03       2.040107377760e+04 
       7.365180871100e-03       2.058445746853e+04 
       7.488008575887e-03       2.076377413828e+04 
       7.610917128720e-03       2.093944062408e+04 
       7.733903382617e-03       2.111117059746e+04 
       7.856964392397e-03       2.127904624595e+04 
       7.980097400496e-03       2.144344342923e+04 
       8.103299823974e-03       2.160379106606e+04 
       8.226569242601e-03       2.176090260049e+04 
       8.349903387926e-03       2.191396567314e+04 
       8.473300133231e-03       2.206379357494e+04 
       8.596757484300e-03       2.220996478010e+04 
       8.720273570916e-03       2.235250661584e+04 
       8.843846639042e-03       2.249157636185e+04 
       8.967475043599e-03       2.262735180435e+04 
       9.091157241812e-03       2.275955536631e+04 
       9.214891787066e-03       2.288847001952e+04 
       9.338677323224e-03       2.301393075633e+04 
       9.462512579379e-03       2.313624059909e+04 
       9.586396364995e-03       2.325523896843e+04 
       9.710327565406e-03       2.337089594951e+04 
       9.834305137651e-03       2.348341031718e+04 
       9.958328106609e-03       2.359279160573e+04 
       1.008239556141e-02       2.369866448547e+04 
       1.020650665213e-02       2.380187898855e+04 
       1.033066058667e-02       2.390178801750e+04 
       1.045485662789e-02       2.399864091081e+04 
       1.057909409099e-02       2.409269690654e+04 
       1.070337234098e-02       2.418346140638e+04 
       1.082769079037e-02       2.427142609818e+04 
       1.095204889707e-02       2.435637388447e+04 
       1.107644616237e-02       2.443829459585e+04 
       1.120088212908e-02       2.451730433907e+04 
       1.132535637978e-02       2.459354520644e+04 
       1.144986853527e-02       2.466694767823e+04 
       1.157441825301e-02       2.473731744299e+04 
       1.169900522577e-02       2.480518023707e+04 
       1.182362918031e-02       2.486983181444e+04 
       1.194828987618e-02       2.493193712994e+04 
       1.207298710459e-02       2.499165652333e+04 
       1.219772068736e-02       2.504817433577e+04 
