# Matter power spectrum P(k) at redshift z=0
# for k=9.95233e-06 to 1.67347 h/Mpc,
# number of wavenumbers equal to 555
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.952334506596e-06       5.607510076672e+01 
       2.209508585073e-05       1.210535306458e+02 
       3.427603489072e-05       1.849136012762e+02 
       4.652429970517e-05       2.483054188998e+02 
       5.886942867161e-05       3.115942984413e+02 
       7.134163470687e-05       3.750504647617e+02 
       8.397203621889e-05       4.389022444436e+02 
       9.679290764236e-05       5.033577449980e+02 
       1.098379424538e-04       5.686157958024e+02 
       1.231425315886e-04       6.348724322212e+02 
       1.367440602007e-04       7.023253186929e+02 
       1.506822256912e-04       7.711770130608e+02 
       1.649993798673e-04       8.416377360357e+02 
       1.797408979315e-04       9.139277255593e+02 
       1.949555767093e-04       9.882795509827e+02 
       2.106960640231e-04       1.064940292415e+03 
       2.270193203500e-04       1.144173681971e+03 
       2.439871127355e-04       1.226262282218e+03 
       2.616665392629e-04       1.311509676736e+03 
       2.801305800249e-04       1.400242579005e+03 
       2.994586673229e-04       1.492813014985e+03 
       3.197372635153e-04       1.589600214402e+03 
       3.410604293147e-04       1.691012427785e+03 
       3.635303581784e-04       1.797488345058e+03 
       3.872578435903e-04       1.909497960555e+03 
       4.123626354733e-04       2.027542703638e+03 
       4.389736299250e-04       2.152154639263e+03 
       4.672288235599e-04       2.283894188752e+03 
       4.972749511791e-04       2.423346297542e+03 
       5.292667152607e-04       2.571114243696e+03 
       5.633655107893e-04       2.727811273874e+03 
       5.997375530611e-04       2.894049182457e+03 
       6.385513337927e-04       3.070423911871e+03 
       6.799743665103e-04       3.257498259697e+03 
       7.241692387943e-04       3.455781466966e+03 
       7.712890663152e-04       3.665707206634e+03 
       8.214725364046e-04       3.887610368302e+03 
       8.748388254153e-04       4.121704280980e+03 
       9.314827564147e-04       4.368060951743e+03 
       9.914706105998e-04       4.626594838716e+03 
       1.054836998112e-03       4.897053793140e+03 
       1.121583121533e-03       5.179016997946e+03 
