# Matter power spectrum P(k) at redshift z=0
# for k=9.94943e-06 to 1.6734 h/Mpc,
# number of wavenumbers equal to 555
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.949425698057e-06       5.606025973647e+01 
       2.209198330685e-05       1.210392607590e+02 
       3.427273025778e-05       1.848997457219e+02 
       4.652078319833e-05       2.482919569923e+02 
       5.886568898897e-05       3.115813191769e+02 
       7.133765892400e-05       3.750380724319e+02 
       8.396780966252e-05       4.388906048833e+02 
       9.678841374157e-05       5.033470947337e+02 
       1.098331625665e-04       5.686063902416e+02 
       1.231374448016e-04       6.348646110280e+02 
       1.367386430995e-04       7.023194913845e+02 
       1.506764520979e-04       7.711736655778e+02 
       1.649932205427e-04       8.416374378445e+02 
       1.797343202384e-04       9.139311690045e+02 
       1.949485442326e-04       9.882875618795e+02 
       2.106885361447e-04       1.064953824831e+03 
       2.270112517739e-04       1.144193893204e+03 
       2.439784529614e-04       1.226290547450e+03 
       2.616572320073e-04       1.311547608793e+03 
       2.801205625885e-04       1.400292155253e+03 
       2.994478699084e-04       1.492876519779e+03 
       3.197256085019e-04       1.589680410644e+03 
       3.410478305009e-04       1.691112645867e+03 
       3.635167200117e-04       1.797612536757e+03 
       3.872430604106e-04       1.909650918267e+03 
       4.123465908088e-04       2.027730156834e+03 
       4.389561958920e-04       2.152383477446e+03 
       4.672098604323e-04       2.284172734340e+03 
       4.972543072094e-04       2.423684505812e+03 
       5.292442268498e-04       2.571524167114e+03 
       5.633410031113e-04       2.728307391117e+03 
       5.997108412543e-04       2.894648790236e+03 
       6.385222248167e-04       3.071147791833e+03 
       6.799426617425e-04       3.258371110639e+03 
       7.241347373919e-04       3.456832592290e+03 
       7.712515692940e-04       3.666971278690e+03 
       8.214318513000e-04       3.889127849619e+03 
       8.747947712894e-04       4.123522495019e+03 
       9.314351688852e-04       4.370234384609e+03 
       9.914193465073e-04       4.629185742859e+03 
       1.054781939428e-03       4.900133172241e+03 
       1.121524178165e-03       5.182664400822e+03 
       1.191613744006e-03       5.476205892398e+03 
       1.264986246256e-03       5.780031853499e+03 
       1.341548170178e-03       6.093261786556e+03 
       1.421180992510e-03       6.414985628703e+03 
       1.503746064057e-03       6.744187527613e+03 
       1.589089828341e-03       7.079812657176e+03 
       1.677048977296e-03       7.420790616252e+03 
       1.767455222430e-03       7.766064848481e+03 
       1.860139460197e-03       8.114608425599e+03 
       1.954935212366e-03       8.465441688144e+03 
       2.051681310413e-03       8.817643765563e+03 
       2.150223859418e-03       9.170355996264e+03 
       2.250417559815e-03       9.522792938372e+03 
       2.352126487333e-03       9.874238827285e+03 
       2.455224437280e-03       1.022404460549e+04 
       2.559594934216e-03       1.057163445408e+04 
       2.665130996615e-03       1.091649256244e+04 
       2.771734731851e-03       1.125816126141e+04 
       2.879316822151e-03       1.159624262420e+04 
       2.987795948568e-03       1.193038684366e+04 
       3.097098188146e-03       1.226028923285e+04 
       3.207156409674e-03       1.258568989525e+04 
       3.317909685584e-03       1.290636774456e+04 
       3.429302731489e-03       1.322213721146e+04 
       3.541285380321e-03       1.353284161108e+04 
       3.653812094680e-03       1.383835631620e+04 
       3.766841518668e-03       1.413858266253e+04 
       3.880336068825e-03       1.443344401406e+04 
       3.994261562722e-03       1.472288574427e+04 
       4.108586883129e-03       1.500687131530e+04 
       4.223283675260e-03       1.528538262311e+04 
       4.338326074471e-03       1.555841095514e+04 
       4.453690461751e-03       1.582597071235e+04 
       4.569355244422e-03       1.608807219074e+04 
       4.685300659582e-03       1.634474677887e+04 
       4.801508598004e-03       1.659603440559e+04 
       4.917962446378e-03       1.684196481827e+04 
       5.034646945954e-03       1.708260049317e+04 
       5.151548065857e-03       1.731798461267e+04 
       5.268652889469e-03       1.754818138147e+04 
       5.385949512492e-03       1.777324083964e+04 
       5.503426951405e-03       1.799323806647e+04 
       5.621075061201e-03       1.820822982382e+04 
       5.738884461384e-03       1.841827699380e+04 
       5.856846469347e-03       1.862348320618e+04 
       5.974953040327e-03       1.882388559125e+04 
       6.093196713234e-03       1.901955787054e+04 
       6.211570561725e-03       1.921058816901e+04 
       6.330068149978e-03       1.939703530160e+04 
       6.448683492659e-03       1.957897765807e+04 
       6.567411018651e-03       1.975648744716e+04 
       6.686245538152e-03       1.992963243988e+04 
       6.805182212809e-03       2.009848636525e+04 
       6.924216528556e-03       2.026312194821e+04 
       7.043344270903e-03       2.042360147865e+04 
       7.162561502429e-03       2.057999166074e+04 
       7.281864542246e-03       2.073236304923e+04 
       7.401249947263e-03       2.088078199222e+04 
       7.520714495056e-03       2.102530674512e+04 
       7.640255168206e-03       2.116600286534e+04 
       7.759869139950e-03       2.130293790676e+04 
       7.879553761032e-03       2.143615369947e+04 
       7.999306547646e-03       2.156573762571e+04 
       8.119125170353e-03       2.169171839308e+04 
       8.239007443902e-03       2.181417203552e+04 
       8.358951317864e-03       2.193314353937e+04 
       8.478954868007e-03       2.204868744825e+04 
       8.599016288348e-03       2.216085942909e+04 
       8.719133883825e-03       2.226971488681e+04 
       8.839306063531e-03       2.237529880572e+04 
       8.959531334463e-03       2.247766026837e+04 
       9.079808295747e-03       2.257685756340e+04 
       9.200135633291e-03       2.267292876391e+04 
       9.320512114840e-03       2.276592850508e+04 
       9.440936585391e-03       2.285589952582e+04 
       9.561407962947e-03       2.294289361053e+04 
       9.681925234576e-03       2.302695245687e+04 
       9.802487452756e-03       2.310811826858e+04 
       9.923093731977e-03       2.318645197952e+04 
       1.004374324559e-02       2.326196790210e+04 
       1.016443522288e-02       2.333473391665e+04 
       1.028516894634e-02       2.340478612153e+04 
       1.040594374911e-02       2.347216287743e+04 
       1.052675901268e-02       2.353690707201e+04 
       1.064761416462e-02       2.359906569896e+04 
       1.076850867661e-02       2.365867516682e+04 
       1.088944206245e-02       2.371576437181e+04 
       1.101041387640e-02       2.377038858556e+04 
       1.113142371142e-02       2.382258207975e+04 
       1.125247119770e-02       2.387238108137e+04 
       1.137355600120e-02       2.391982002789e+04 
       1.149467782235e-02       2.396494375963e+04 
       1.161583639475e-02       2.400778405443e+04 
       1.173703148407e-02       2.404837782529e+04 
       1.185826288696e-02       2.408677153124e+04 
       1.197953043001e-02       2.412297772703e+04 
       1.210083396888e-02       2.415705835189e+04 
       1.222217338741e-02       2.418903018230e+04 
       1.234354859681e-02       2.421893678152e+04 
       1.246495953493e-02       2.424680224848e+04 
       1.258640616556e-02       2.427266707398e+04 
       1.270788847781e-02       2.429655688011e+04 
       1.282940648550e-02       2.431850899440e+04 
       1.295096022666e-02       2.433854672569e+04 
       1.307254976296e-02       2.435670095222e+04 
       1.319417517935e-02       2.437301086641e+04 
       1.331583658356e-02       2.438751221416e+04 
       1.343753410575e-02       2.440021224890e+04 
       1.355926789817e-02       2.441115078585e+04 
       1.368103813484e-02       2.442035952504e+04 
       1.380284501131e-02       2.442786506178e+04 
       1.392468874431e-02       2.443369064124e+04 
       1.404656957167e-02       2.443786176630e+04 
       1.416848775199e-02       2.444042274551e+04 
       1.429044356459e-02       2.444136437237e+04 
       1.441243730930e-02       2.444075139539e+04 
       1.453446930635e-02       2.443857166325e+04 
       1.465653989632e-02       2.443487939725e+04 
       1.477864944004e-02       2.442968386971e+04 
       1.490079831854e-02       2.442300771525e+04 
       1.502298693307e-02       2.441487854395e+04 
       1.514521570501e-02       2.440532981796e+04 
       1.526748507600e-02       2.439436898865e+04 
       1.538979550786e-02       2.438201574278e+04 
       1.551214748274e-02       2.436830835027e+04 
       1.563454150316e-02       2.435325593864e+04 
       1.575697809206e-02       2.433688515326e+04 
       1.587945779298e-02       2.431921376496e+04 
       1.600198117015e-02       2.430026747132e+04 
       1.612454880865e-02       2.428005235803e+04 
       1.624716131455e-02       2.425860713767e+04 
       1.636981931512e-02       2.423593868947e+04 
