# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.452834671123e-10       4.264092235856e-15       3.390519777277e-13       0.000000000000e+00 
    3       1.356412736053e-10       5.368805211554e-15       3.841026722709e-13       0.000000000000e+00 
    4       1.272219314914e-10       4.544611491339e-15       3.593369699781e-13       0.000000000000e+00 
    5       1.210872830367e-10       2.964256703769e-15       3.052141262782e-13       0.000000000000e+00 
    6       1.169265934500e-10       1.634263621574e-15       2.450067137361e-13       0.000000000000e+00 
    7       1.142352875662e-10       8.978901572256e-16       1.920082405772e-13       0.000000000000e+00 
    8       1.126417718819e-10       6.075636580806e-16       1.518564209248e-13       0.000000000000e+00 
    9       1.118878165160e-10       5.007382107427e-16       1.255768506499e-13       0.000000000000e+00 
   10       1.116920261828e-10       4.239061230055e-16       1.116048676987e-13       0.000000000000e+00 
   11       1.119542118166e-10       3.503347742662e-16       1.071110287271e-13       0.000000000000e+00 
   12       1.125724623855e-10       3.018605697552e-16       1.089458333028e-13       0.000000000000e+00 
   13       1.134290620260e-10       2.880127127852e-16       1.144153995857e-13       0.000000000000e+00 
   14       1.145393126908e-10       2.980678073739e-16       1.215393024408e-13       0.000000000000e+00 
   15       1.157759646423e-10       3.198853378824e-16       1.291580024328e-13       0.000000000000e+00 
   16       1.171972818019e-10       3.521308973989e-16       1.367282855937e-13       0.000000000000e+00 
   17       1.187290255873e-10       4.009392985323e-16       1.441346458007e-13       0.000000000000e+00 
   18       1.203559751906e-10       4.710499252413e-16       1.516764542110e-13       0.000000000000e+00 
   19       1.221000625685e-10       5.622263619889e-16       1.596048027527e-13       0.000000000000e+00 
   20       1.239265014037e-10       6.720151332066e-16       1.680890126315e-13       0.000000000000e+00 
   21       1.258331185391e-10       7.997197501956e-16       1.770863642571e-13       0.000000000000e+00 
   22       1.277980452952e-10       9.449641136218e-16       1.863936267738e-13       0.000000000000e+00 
   23       1.298284354293e-10       1.108068970554e-15       1.956272435160e-13       0.000000000000e+00 
   24       1.319189843802e-10       1.289434234212e-15       2.043048914339e-13       0.000000000000e+00 
   25       1.340696390777e-10       1.489377219774e-15       2.121368106783e-13       0.000000000000e+00 
   26       1.362684363811e-10       1.708372093037e-15       2.189097203665e-13       0.000000000000e+00 
   27       1.385229854777e-10       1.948228707612e-15       2.245886509441e-13       0.000000000000e+00 
   28       1.408361330900e-10       2.211164680601e-15       2.292086531322e-13       0.000000000000e+00 
