# Matter power spectrum P(k) at redshift z=0
# for k=9.94698e-06 to 1.67334 h/Mpc,
# number of wavenumbers equal to 555
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.946978694098e-06       5.604775156807e+01 
       2.208933838493e-05       1.210270235833e+02 
       3.426988012954e-05       1.848876446411e+02 
       4.651771911968e-05       2.482800001477e+02 
       5.886240068211e-05       3.115695357765e+02 
       7.133413447970e-05       3.750265570392e+02 
       8.396403542136e-05       4.388795216280e+02 
       9.678437415245e-05       5.033365829974e+02 
       1.098288400207e-04       5.685966805892e+02 
       1.231328194396e-04       6.348559707768e+02 
       1.367336925891e-04       7.023122324465e+02 
       1.506711513795e-04       7.711681808172e+02 
       1.649875415388e-04       8.416341853633e+02 
       1.797282315250e-04       9.139307080009e+02 
       1.949420106679e-04       9.882905375895e+02 
       2.106815184519e-04       1.064961030929e+03 
       2.270037060750e-04       1.144206241272e+03 
       2.439703302596e-04       1.226309137555e+03 
       2.616484776158e-04       1.311573746186e+03 
       2.801111155062e-04       1.400327410574e+03 
       2.994376621452e-04       1.492922771421e+03 
       3.197145643592e-04       1.589739897836e+03 
       3.410358658186e-04       1.691188066502e+03 
       3.635037413997e-04       1.797707123312e+03 
       3.872289644905e-04       1.909768515699e+03 
       4.123312635037e-04       2.027875494544e+03 
       4.389395118131e-04       2.152562185088e+03 
       4.671916824286e-04       2.284391605098e+03 
       4.972344861594e-04       2.423951711938e+03 
       5.292226017905e-04       2.571849600229e+03 
       5.633174018103e-04       2.728702930341e+03 
       5.996850813345e-04       2.895128696087e+03 
       6.384941155339e-04       3.071729219669e+03 
       6.799120064913e-04       3.259074417393e+03 
       7.241013369671e-04       3.457682088380e+03 
       7.712152258663e-04       3.667995629945e+03 
       8.213923729760e-04       3.890360641818e+03 
       8.747519770300e-04       4.125002993579e+03 
       9.313888934662e-04       4.372007840212e+03 
       9.913694451469e-04       4.631304294781e+03 
       1.054728291691e-03       4.902655518898e+03 
       1.121466690802e-03       5.185657026521e+03 
       1.191552352480e-03       5.479742676762e+03 
       1.264920914866e-03       5.784194513636e+03 
       1.341478890833e-03       6.098138715162e+03 
       1.421107782351e-03       6.420673233183e+03 
       1.503668962226e-03       6.750788741981e+03 
       1.589008892234e-03       7.087435785880e+03 
       1.676964278632e-03       7.429550728796e+03 
       1.767366843412e-03       7.776080094921e+03 
       1.860047489996e-03       8.126001069843e+03 
       1.954839744036e-03       8.478336994020e+03 
       2.051582438320e-03       8.832169193449e+03 
       2.150121677187e-03       9.186641567939e+03 
       2.250312158759e-03       9.540968926303e+03 
       2.352017955315e-03       9.894435527267e+03 
       2.455112857940e-03       1.024639240952e+04 
       2.559480386494e-03       1.059626483553e+04 
       2.665013554510e-03       1.094353221794e+04 
       2.771614464356e-03       1.128774025129e+04 
       2.879193793324e-03       1.162848551347e+04 
       2.987670217684e-03       1.196541674074e+04 
       3.096969809920e-03       1.229822654434e+04 
       3.207025434520e-03       1.262665278218e+04 
       3.317776159890e-03       1.295046987714e+04 
       3.429166697901e-03       1.326948820626e+04 
       3.541146878025e-03       1.358354709465e+04 
       3.653671159676e-03       1.389251637601e+04 
