# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.436615341595e-10       4.244884672943e-15       3.339927885880e-13       0.000000000000e+00 
    3       1.341930092755e-10       5.354552076952e-15       3.773002185883e-13       0.000000000000e+00 
    4       1.260076223934e-10       4.545600747611e-15       3.522374326649e-13       0.000000000000e+00 
    5       1.201192098913e-10       2.977287049824e-15       2.988773068542e-13       0.000000000000e+00 
    6       1.161683525197e-10       1.657161588835e-15       2.402197855503e-13       0.000000000000e+00 
    7       1.136850827433e-10       9.336049534045e-16       1.891870631979e-13       0.000000000000e+00 
    8       1.123111646474e-10       6.577021312646e-16       1.510400157563e-13       0.000000000000e+00 
    9       1.116919109893e-10       5.590576427728e-16       1.265604509126e-13       0.000000000000e+00 
   10       1.116483785668e-10       4.783608218974e-16       1.139752990586e-13       0.000000000000e+00 
   11       1.120654514372e-10       3.910967889819e-16       1.103077454442e-13       0.000000000000e+00 
   12       1.128198389466e-10       3.270340493730e-16       1.124411674155e-13       0.000000000000e+00 
   13       1.138036457360e-10       3.024573718076e-16       1.177607602187e-13       0.000000000000e+00 
   14       1.150003177663e-10       3.078190159587e-16       1.243997925913e-13       0.000000000000e+00 
   15       1.164080575889e-10       3.278034212713e-16       1.312047539444e-13       0.000000000000e+00 
   16       1.179373199267e-10       3.577766831278e-16       1.376464695916e-13       0.000000000000e+00 
   17       1.195899686653e-10       4.029850919056e-16       1.438290414804e-13       0.000000000000e+00 
   18       1.213694568240e-10       4.693015948253e-16       1.500558235606e-13       0.000000000000e+00 
   19       1.232788977883e-10       5.571338476976e-16       1.566000389829e-13       0.000000000000e+00 
   20       1.252688672221e-10       6.643272110768e-16       1.636844884447e-13       0.000000000000e+00 
   21       1.273483758549e-10       7.899466791817e-16       1.712896438203e-13       0.000000000000e+00 
   22       1.295137629280e-10       9.332041649945e-16       1.792299880247e-13       0.000000000000e+00 
   23       1.317657643535e-10       1.094551919577e-15       1.871793877369e-13       0.000000000000e+00 
   24       1.340880797874e-10       1.274632686505e-15       1.947092173014e-13       0.000000000000e+00 
   25       1.364973255534e-10       1.473547919623e-15       2.014820894144e-13       0.000000000000e+00 
   26       1.390013498399e-10       1.691429745797e-15       2.071914551140e-13       0.000000000000e+00 
   27       1.415853927855e-10       1.930129226136e-15       2.117248094131e-13       0.000000000000e+00 
   28       1.442201623126e-10       2.191990399971e-15       2.150482290779e-13       0.000000000000e+00 
   29       1.469166047998e-10       2.478286049188e-15       2.171753267223e-13       0.000000000000e+00 
   30       1.496881379224e-10       2.789913769173e-15       2.181593706272e-13       0.000000000000e+00 
   31       1.525371373836e-10       3.127762654474e-15       2.180620623817e-13       0.000000000000e+00 
   32       1.554647608280e-10       3.492996545690e-15       2.168520254301e-13       0.000000000000e+00 
   33       1.584619803873e-10       3.886873666701e-15       2.144686185784e-13       0.000000000000e+00 
   34       1.615127297736e-10       4.310590347513e-15       2.108320950622e-13       0.000000000000e+00 
   35       1.646192029179e-10       4.764992345702e-15       2.057896383670e-13       0.000000000000e+00 
   36       1.677836498424e-10       5.250752220617e-15       1.991476439425e-13       0.000000000000e+00 
   37       1.710036333259e-10       5.768469463629e-15       1.907266734875e-13       0.000000000000e+00 
   38       1.742815208168e-10       6.318781008761e-15       1.805082500004e-13       0.000000000000e+00 
   39       1.776169569520e-10       6.902276581723e-15       1.685371438810e-13       0.000000000000e+00 
   40       1.810035447578e-10       7.519462309950e-15       1.548841230174e-13       0.000000000000e+00 
   41       1.844326220428e-10       8.170830987980e-15       1.396212305585e-13       0.000000000000e+00 
   42       1.879075300313e-10       8.857113117928e-15       1.227340988402e-13       0.000000000000e+00 
   43       1.914329667493e-10       9.579098674974e-15       1.041837795020e-13       0.000000000000e+00 
   44       1.950107030512e-10       1.033756849740e-14       8.393039144547e-14       0.000000000000e+00 
   45       1.986401990819e-10       1.113323405989e-14       6.193485392710e-14       0.000000000000e+00 
   46       2.023213967614e-10       1.196653560241e-14       3.816521058938e-14       0.000000000000e+00 
   47       2.060522400101e-10       1.283778344763e-14       1.259183016501e-14       0.000000000000e+00 
   48       2.098275766323e-10       1.374720938167e-14      -1.481447781808e-14       0.000000000000e+00 
   49       2.136389045479e-10       1.469496307363e-14      -4.408256594227e-14       0.000000000000e+00 
   50       2.174775353243e-10       1.568114688469e-14      -7.523879344732e-14       0.000000000000e+00 
   51       2.213456858494e-10       1.670593974157e-14      -1.082996313857e-13       0.000000000000e+00 
   52       2.252479587130e-10       1.776950069792e-14      -1.432772280989e-13       0.000000000000e+00 
   53       2.291880972929e-10       1.887193175159e-14      -1.801814888510e-13       0.000000000000e+00 
   54       2.331688928001e-10       2.001327607057e-14      -2.190200724582e-13       0.000000000000e+00 
   55       2.371919860330e-10       2.119353368057e-14      -2.597984677020e-13       0.000000000000e+00 
   56       2.412574279193e-10       2.241271715511e-14      -3.025202525161e-13       0.000000000000e+00 
   57       2.453638469851e-10       2.367080665277e-14      -3.471868932842e-13       0.000000000000e+00 
   58       2.495084501368e-10       2.496773259805e-14      -3.937976704422e-13       0.000000000000e+00 
   59       2.536869256036e-10       2.630337458768e-14      -4.423496782164e-13       0.000000000000e+00 
   60       2.578933458803e-10       2.767756029701e-14      -4.928378243620e-13       0.000000000000e+00 
   61       2.621219728665e-10       2.908999655605e-14      -5.452532810384e-13       0.000000000000e+00 
   62       2.663733663332e-10       3.054004697336e-14      -5.995784316985e-13       0.000000000000e+00 
   63       2.706494805772e-10       3.202690222966e-14      -6.557907843482e-13       0.000000000000e+00 
   64       2.749518472397e-10       3.354964032192e-14      -7.138643718959e-13       0.000000000000e+00 
   65       2.792815386041e-10       3.510722331758e-14      -7.737697027465e-13       0.000000000000e+00 
   66       2.836391308943e-10       3.669849410866e-14      -8.354737113958e-13       0.000000000000e+00 
   67       2.880246675726e-10       3.832217316597e-14      -8.989397090241e-13       0.000000000000e+00 
   68       2.924379369363e-10       3.997698175200e-14      -9.641297345327e-13       0.000000000000e+00 
   69       2.968794522627e-10       4.166204780654e-14      -1.031012271275e-12       0.000000000000e+00 
