# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.454342368509e-10       4.265060047322e-15       3.394250719562e-13       0.000000000000e+00 
    3       1.357847223462e-10       5.369895593360e-15       3.846676317148e-13       0.000000000000e+00 
    4       1.273480406727e-10       4.544671282094e-15       3.599047540368e-13       0.000000000000e+00 
    5       1.211930149841e-10       2.963609981486e-15       3.057253152556e-13       0.000000000000e+00 
    6       1.170141547139e-10       1.632957843883e-15       2.454089803667e-13       0.000000000000e+00 
    7       1.143096648626e-10       8.957018517992e-16       1.922779092132e-13       0.000000000000e+00 
    8       1.126989537355e-10       6.044156263407e-16       1.519910632324e-13       0.000000000000e+00 
    9       1.119291162652e-10       4.970838296444e-16       1.255920159647e-13       0.000000000000e+00 
   10       1.117235136729e-10       4.205363770274e-16       1.115287766606e-13       0.000000000000e+00 
   11       1.119739450861e-10       3.478492655823e-16       1.069677731024e-13       0.000000000000e+00 
   12       1.125780967862e-10       3.003390313335e-16       1.087904292752e-13       0.000000000000e+00 
   13       1.134298168193e-10       2.871119904134e-16       1.142798983530e-13       0.000000000000e+00 
   14       1.145263259263e-10       2.974274726907e-16       1.214158883608e-13       0.000000000000e+00 
   15       1.157531882317e-10       3.194215114648e-16       1.290644442645e-13       0.000000000000e+00 
   16       1.171732303134e-10       3.519617293795e-16       1.367191544083e-13       0.000000000000e+00 
   17       1.186912443734e-10       4.010781112336e-16       1.442560242110e-13       0.000000000000e+00 
   18       1.203080351526e-10       4.714955313975e-16       1.518880397439e-13       0.000000000000e+00 
   19       1.220469373608e-10       5.629297404563e-16       1.598805776281e-13       0.000000000000e+00 
   20       1.238655712567e-10       6.728773897008e-16       1.684567991667e-13       0.000000000000e+00 
   21       1.257617998582e-10       8.007750086010e-16       1.775663021632e-13       0.000000000000e+00 
   22       1.277159077466e-10       9.464055703557e-16       1.869772167177e-13       0.000000000000e+00 
   23       1.297330054097e-10       1.109917091732e-15       1.962988109187e-13       0.000000000000e+00 
   24       1.318051586941e-10       1.291467273245e-15       2.050535417987e-13       0.000000000000e+00 
   25       1.339356295965e-10       1.491522145066e-15       2.129776672482e-13       0.000000000000e+00 
   26       1.361170131790e-10       1.710798473799e-15       2.198820670240e-13       0.000000000000e+00 
   27       1.383548155751e-10       1.951013151170e-15       2.256934870798e-13       0.000000000000e+00 
   28       1.406480469656e-10       2.214202883474e-15       2.303962212651e-13       0.000000000000e+00 
   29       1.430015878339e-10       2.501779807676e-15       2.340230610517e-13       0.000000000000e+00 
   30       1.454086072330e-10       2.814973877551e-15       2.366492933353e-13       0.000000000000e+00 
   31       1.478516313499e-10       3.154955788769e-15       2.383558759743e-13       0.000000000000e+00 
   32       1.503347021275e-10       3.522625733984e-15       2.391052045460e-13       0.000000000000e+00 
