# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.476504735944e-10       4.274324786086e-15       3.453825331506e-13       0.000000000000e+00 
    3       1.379532265701e-10       5.378619784499e-15       3.918724785391e-13       0.000000000000e+00 
    4       1.293458208796e-10       4.547395317056e-15       3.670443676153e-13       0.000000000000e+00 
    5       1.229781000664e-10       2.961343987674e-15       3.121493969606e-13       0.000000000000e+00 
    6       1.185985724341e-10       1.626269572697e-15       2.507949585460e-13       0.000000000000e+00 
    7       1.157344915697e-10       8.823750588947e-16       1.965358991260e-13       0.000000000000e+00 
    8       1.139376987765e-10       5.836213520186e-16       1.552334753839e-13       0.000000000000e+00 
    9       1.129571618936e-10       4.724857028802e-16       1.280382232390e-13       0.000000000000e+00 
   10       1.126149200605e-10       3.985514058915e-16       1.133851404291e-13       0.000000000000e+00 
   11       1.126989368530e-10       3.332264456874e-16       1.085003629893e-13       0.000000000000e+00 
   12       1.131565198484e-10       2.936783387050e-16       1.103110442224e-13       0.000000000000e+00 
   13       1.139012532657e-10       2.862474638494e-16       1.160152310506e-13       0.000000000000e+00 
   14       1.148055574763e-10       3.003605250897e-16       1.236579649894e-13       0.000000000000e+00 
   15       1.159525523879e-10       3.260147331906e-16       1.320137033260e-13       0.000000000000e+00 
   16       1.172360981561e-10       3.635812583749e-16       1.404812916897e-13       0.000000000000e+00 
   17       1.186501096300e-10       4.191094171265e-16       1.489831573397e-13       0.000000000000e+00 
   18       1.201694837898e-10       4.964948644516e-16       1.577347562597e-13       0.000000000000e+00 
   19       1.217910630385e-10       5.952281932569e-16       1.669560833585e-13       0.000000000000e+00 
   20       1.234707378693e-10       7.128723652380e-16       1.767999926813e-13       0.000000000000e+00 
   21       1.252234936218e-10       8.491119883062e-16       1.871271575153e-13       0.000000000000e+00 
   22       1.270508205810e-10       1.004029883956e-15       1.976283508601e-13       0.000000000000e+00 
   23       1.289500647053e-10       1.177732316453e-15       2.079784702295e-13       0.000000000000e+00 
   24       1.308957551819e-10       1.370258275447e-15       2.178045030802e-13       0.000000000000e+00 
   25       1.328877084490e-10       1.582239000242e-15       2.268062600602e-13       0.000000000000e+00 
   26       1.349201120163e-10       1.814620517561e-15       2.347276849050e-13       0.000000000000e+00 
   27       1.370025954765e-10       2.069069679938e-15       2.415415720025e-13       0.000000000000e+00 
   28       1.391328512347e-10       2.347662546785e-15       2.473280329697e-13       0.000000000000e+00 
   29       1.412943264569e-10       2.652502399690e-15       2.521923837218e-13       0.000000000000e+00 
   30       1.434929185802e-10       2.984807086048e-15       2.561507548927e-13       0.000000000000e+00 
   31       1.457311167395e-10       3.345452894046e-15       2.592020135413e-13       0.000000000000e+00 
   32       1.480016579523e-10       3.735222009766e-15       2.613351745421e-13       0.000000000000e+00 
   33       1.503046674197e-10       4.154898088318e-15       2.624508980561e-13       0.000000000000e+00 
   34       1.526343785767e-10       4.605189634223e-15       2.624091938257e-13       0.000000000000e+00 
   35       1.549799608919e-10       5.086778496535e-15       2.610665381073e-13       0.000000000000e+00 
   36       1.573482941218e-10       5.600603798150e-15       2.583397413062e-13       0.000000000000e+00 
   37       1.597475796715e-10       6.147670089056e-15       2.541631306457e-13       0.000000000000e+00 
   38       1.621804520294e-10       6.728970912605e-15       2.484716123091e-13       0.000000000000e+00 
   39       1.646452742209e-10       7.345429946755e-15       2.412165879897e-13       0.000000000000e+00 
   40       1.671421873289e-10       7.997702621849e-15       2.324202745660e-13       0.000000000000e+00 
   41       1.696680006014e-10       8.686305247451e-15       2.221398785678e-13       0.000000000000e+00 
   42       1.722138884821e-10       9.411661760971e-15       2.104544448281e-13       0.000000000000e+00 
   43       1.747697962439e-10       1.017416838652e-14       1.974314630402e-13       0.000000000000e+00 
   44       1.773405421444e-10       1.097442453741e-14       1.830113941756e-13       0.000000000000e+00 
   45       1.799338510574e-10       1.181306477836e-14       1.670891672908e-13       0.000000000000e+00 
   46       1.825556541251e-10       1.269069406029e-14       1.495446871567e-13       0.000000000000e+00 
   47       1.852098762474e-10       1.360788674107e-14       1.302418485723e-13       0.000000000000e+00 
   48       1.878984695243e-10       1.456513282329e-14       1.090573515096e-13       0.000000000000e+00 
   49       1.906220205915e-10       1.556266103160e-14       8.597905153221e-14       0.000000000000e+00 
   50       1.933789493674e-10       1.660056418057e-14       6.103363963569e-14       0.000000000000e+00 
   51       1.961650830049e-10       1.767884402163e-14       3.425978355959e-14       0.000000000000e+00 
   52       1.989734559289e-10       1.879740757074e-14       5.708662551646e-15       0.000000000000e+00 
   53       2.017970052166e-10       1.995614252900e-14      -2.457349105861e-14       0.000000000000e+00 
   54       2.046379307272e-10       2.115517476572e-14      -5.660426857353e-14       0.000000000000e+00 
   55       2.075003933564e-10       2.239467064509e-14      -9.042041592271e-14       0.000000000000e+00 
   56       2.103877535762e-10       2.367476338089e-14      -1.260613803951e-13       0.000000000000e+00 
   57       2.133024928696e-10       2.499555268045e-14      -1.635695303066e-13       0.000000000000e+00 
   58       2.162461351668e-10       2.635710438873e-14      -2.029903746670e-13       0.000000000000e+00 
   59       2.192196056986e-10       2.775933038386e-14      -2.443599863692e-13       0.000000000000e+00 
   60       2.222245833102e-10       2.920159650168e-14      -2.876633621883e-13       0.000000000000e+00 
   61       2.252623239015e-10       3.068302276864e-14      -3.328667637796e-13       0.000000000000e+00 
   62       2.283331881860e-10       3.220259081943e-14      -3.799294541773e-13       0.000000000000e+00 
   63       2.314365779537e-10       3.375913948175e-14      -4.288034836829e-13       0.000000000000e+00 
   64       2.345708723345e-10       3.535136036101e-14      -4.794334757536e-13       0.000000000000e+00 
   65       2.377342808496e-10       3.697796897068e-14      -5.317676901734e-13       0.000000000000e+00 
   66       2.409277557103e-10       3.863827016473e-14      -5.857944167356e-13       0.000000000000e+00 
   67       2.441525841805e-10       4.033170491516e-14      -6.415129291416e-13       0.000000000000e+00 
   68       2.474094888320e-10       4.205768581880e-14      -6.989229872700e-13       0.000000000000e+00 
   69       2.506985894517e-10       4.381559759251e-14      -7.580249385132e-13       0.000000000000e+00 
   70       2.540193649495e-10       4.560479756821e-14      -8.188198191144e-13       0.000000000000e+00 
   71       2.573706152658e-10       4.742461618808e-14      -8.813094555046e-13       0.000000000000e+00 
   72       2.607511223154e-10       4.927426730144e-14      -9.454896266151e-13       0.000000000000e+00 
   73       2.641618643453e-10       5.115255802146e-14      -1.011327806134e-12       0.000000000000e+00 
   74       2.676041597631e-10       5.305812381092e-14      -1.078781311118e-12       0.000000000000e+00 
   75       2.710789840048e-10       5.498951220813e-14      -1.147803806347e-12       0.000000000000e+00 
   76       2.745869474030e-10       5.694518126273e-14      -1.218345247236e-12       0.000000000000e+00 
   77       2.781282730535e-10       5.892349797150e-14      -1.290351822747e-12       0.000000000000e+00 
   78       2.817027746832e-10       6.092273671410e-14      -1.363765898304e-12       0.000000000000e+00 
   79       2.853098345169e-10       6.294107768894e-14      -1.438525958697e-12       0.000000000000e+00 
   80       2.889487979691e-10       6.497668676339e-14      -1.514570836298e-12       0.000000000000e+00 
   81       2.926202853463e-10       6.702797443591e-14      -1.591853366908e-12       0.000000000000e+00 
   82       2.963250686058e-10       6.909337920195e-14      -1.670329012356e-12       0.000000000000e+00 
   83       3.000636605731e-10       7.117129007829e-14      -1.749951807761e-12       0.000000000000e+00 
   84       3.038363005286e-10       7.326004654649e-14      -1.830674383811e-12       0.000000000000e+00 
   85       3.076429397935e-10       7.535793849640e-14      -1.912447989023e-12       0.000000000000e+00 
   86       3.114832273163e-10       7.746320616960e-14      -1.995222512017e-12       0.000000000000e+00 
   87       3.153564952594e-10       7.957404010290e-14      -2.078946503786e-12       0.000000000000e+00 
   88       3.192617445847e-10       8.168858107177e-14      -2.163567199960e-12       0.000000000000e+00 
   89       3.231979920491e-10       8.380494006038e-14      -2.249029781340e-12       0.000000000000e+00 
   90       3.271654049874e-10       8.592126188485e-14      -2.335274973993e-12       0.000000000000e+00 
   91       3.311643188123e-10       8.803567149268e-14      -2.422241111968e-12       0.000000000000e+00 
   92       3.351948825784e-10       9.014625506481e-14      -2.509864876224e-12       0.000000000000e+00 
   93       3.392570499831e-10       9.225106025909e-14      -2.598081305493e-12       0.000000000000e+00 
   94       3.433505703673e-10       9.434809645375e-14      -2.686823807132e-12       0.000000000000e+00 
   95       3.474749797161e-10       9.643533499097e-14      -2.776024167982e-12       0.000000000000e+00 
   96       3.516295916592e-10       9.851070942029e-14      -2.865612565228e-12       0.000000000000e+00 
   97       3.558134884719e-10       1.005721157422e-13      -2.955517577250e-12       0.000000000000e+00 
   98       3.600255120758e-10       1.026174126515e-13      -3.045666194487e-12       0.000000000000e+00 
   99       3.642645446411e-10       1.046444720914e-13      -3.135984931961e-12       0.000000000000e+00 
  100       3.685304151988e-10       1.066513385599e-13      -3.226403323194e-12       0.000000000000e+00 
  101       3.728231053218e-10       1.086360929248e-13      -3.316850943649e-12       0.000000000000e+00 
  102       3.771424655594e-10       1.105968049692e-13      -3.407256377109e-12       0.000000000000e+00 
  103       3.814882099483e-10       1.125315342445e-13      -3.497547239895e-12       0.000000000000e+00 
  104       3.858599105238e-10       1.144383309241e-13      -3.587650205070e-12       0.000000000000e+00 
  105       3.902569918304e-10       1.163152366561e-13      -3.677491026651e-12       0.000000000000e+00 
  106       3.946787254332e-10       1.181602854174e-13      -3.766994563824e-12       0.000000000000e+00 
  107       3.991242244285e-10       1.199715043662e-13      -3.856084805151e-12       0.000000000000e+00 
  108       4.035924379552e-10       1.217469146960e-13      -3.944684892781e-12       0.000000000000e+00 
  109       4.080821457054e-10       1.234845324887e-13      -4.032717146662e-12       0.000000000000e+00 
  110       4.125921550477e-10       1.251824198020e-13      -4.120103780711e-12       0.000000000000e+00 
  111       4.171219328442e-10       1.268388435337e-13      -4.206769103563e-12       0.000000000000e+00 
  112       4.216710445961e-10       1.284521385800e-13      -4.292637646087e-12       0.000000000000e+00 
  113       4.262389556023e-10       1.300206607506e-13      -4.377633525263e-12       0.000000000000e+00 
  114       4.308250274615e-10       1.315427881156e-13      -4.461680475189e-12       0.000000000000e+00 
  115       4.354285145747e-10       1.330169223522e-13      -4.544701878099e-12       0.000000000000e+00 
  116       4.400485606470e-10       1.344414900922e-13      -4.626620795367e-12       0.000000000000e+00 
  117       4.446841951905e-10       1.358149442687e-13      -4.707359998522e-12       0.000000000000e+00 
  118       4.493343300260e-10       1.371357654632e-13      -4.786842000261e-12       0.000000000000e+00 
  119       4.539977557858e-10       1.384024632527e-13      -4.864989085456e-12       0.000000000000e+00 
  120       4.586731384155e-10       1.396135775568e-13      -4.941723342169e-12       0.000000000000e+00 
  121       4.633590156764e-10       1.407676799844e-13      -5.016966692662e-12       0.000000000000e+00 
  122       4.680537936478e-10       1.418633751810e-13      -5.090640924409e-12       0.000000000000e+00 
  123       4.727559329847e-10       1.428993502478e-13      -5.162668637069e-12       0.000000000000e+00 
  124       4.774645393682e-10       1.438745265588e-13      -5.232976140537e-12       0.000000000000e+00 
  125       4.821788346112e-10       1.447879280044e-13      -5.301490949821e-12       0.000000000000e+00 
  126       4.868979709946e-10       1.456386361890e-13      -5.368140936725e-12       0.000000000000e+00 
  127       4.916210292626e-10       1.464257921565e-13      -5.432854368065e-12       0.000000000000e+00 
  128       4.963470166176e-10       1.471485981150e-13      -5.495559943890e-12       0.000000000000e+00 
  129       5.010748647159e-10       1.478063191625e-13      -5.556186835696e-12       0.000000000000e+00 
  130       5.058034276626e-10       1.483982850121e-13      -5.614664724648e-12       0.000000000000e+00 
  131       5.105314800070e-10       1.489238917169e-13      -5.670923839795e-12       0.000000000000e+00 
  132       5.152577147376e-10       1.493826033957e-13      -5.724894996292e-12       0.000000000000e+00 
  133       5.199807412778e-10       1.497739539581e-13      -5.776509633611e-12       0.000000000000e+00 
  134       5.246990834803e-10       1.500975488295e-13      -5.825699853767e-12       0.000000000000e+00 
  135       5.294111776234e-10       1.503530666766e-13      -5.872398459531e-12       0.000000000000e+00 
  136       5.341153704052e-10       1.505402611327e-13      -5.916538992649e-12       0.000000000000e+00 
  137       5.388100575008e-10       1.506589880068e-13      -5.958056412662e-12       0.000000000000e+00 
  138       5.434941196573e-10       1.507092864375e-13      -5.996889131744e-12       0.000000000000e+00 
  139       5.481665281339e-10       1.506913094472e-13      -6.032977263869e-12       0.000000000000e+00 
  140       5.528262070883e-10       1.506053010809e-13      -6.066262044995e-12       0.000000000000e+00 
  141       5.574720324631e-10       1.504515982935e-13      -6.096685875350e-12       0.000000000000e+00 
  142       5.621028308740e-10       1.502306328362e-13      -6.124192361712e-12       0.000000000000e+00 
  143       5.667173784965e-10       1.499429331441e-13      -6.148726359697e-12       0.000000000000e+00 
  144       5.713143999539e-10       1.495891262228e-13      -6.170234016040e-12       0.000000000000e+00 
  145       5.758925672043e-10       1.491699395359e-13      -6.188662810881e-12       0.000000000000e+00 
  146       5.804504984283e-10       1.486862028912e-13      -6.203961600046e-12       0.000000000000e+00 
  147       5.849867569161e-10       1.481388503285e-13      -6.216080657337e-12       0.000000000000e+00 
  148       5.894998499550e-10       1.475289220061e-13      -6.224971716809e-12       0.000000000000e+00 
  149       5.939882277169e-10       1.468575660881e-13      -6.230588015060e-12       0.000000000000e+00 
  150       5.984502821455e-10       1.461260406311e-13      -6.232884333511e-12       0.000000000000e+00 
