# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.453784013546e-10       4.262944552981e-15       3.388954285902e-13       0.000000000000e+00 
    3       1.357258464209e-10       5.369765482558e-15       3.844460435952e-13       0.000000000000e+00 
    4       1.272917989097e-10       4.545316235603e-15       3.597172447116e-13       0.000000000000e+00 
    5       1.211399041683e-10       2.964481455047e-15       3.055733568957e-13       0.000000000000e+00 
    6       1.169632815362e-10       1.634137462338e-15       2.453266931697e-13       0.000000000000e+00 
    7       1.142585782357e-10       8.971905958016e-16       1.922818460188e-13       0.000000000000e+00 
    8       1.126484800955e-10       6.062160103188e-16       1.521064136784e-13       0.000000000000e+00 
    9       1.118786949242e-10       4.990562743475e-16       1.258156348854e-13       0.000000000000e+00 
   10       1.116708593156e-10       4.224413872415e-16       1.118268243398e-13       0.000000000000e+00 
   11       1.119196336355e-10       3.495072827552e-16       1.073364422841e-13       0.000000000000e+00 
   12       1.125221895390e-10       3.017401896585e-16       1.092038685400e-13       0.000000000000e+00 
   13       1.133707783715e-10       2.884669594218e-16       1.147088383497e-13       0.000000000000e+00 
   14       1.144660388026e-10       2.989851421964e-16       1.219007181144e-13       0.000000000000e+00 
   15       1.156903478688e-10       3.213037066535e-16       1.295866919388e-13       0.000000000000e+00 
   16       1.171074577331e-10       3.542809350689e-16       1.372263211617e-13       0.000000000000e+00 
   17       1.186246918203e-10       4.039678669063e-16       1.447436235388e-13       0.000000000000e+00 
   18       1.202407062642e-10       4.750851451512e-16       1.523634835699e-13       0.000000000000e+00 
   19       1.219786332433e-10       5.673377313716e-16       1.603694016031e-13       0.000000000000e+00 
   20       1.237970402067e-10       6.782042817158e-16       1.689998525545e-13       0.000000000000e+00 
   21       1.256941672945e-10       8.070975673054e-16       1.781502386795e-13       0.000000000000e+00 
