# Matter power spectrum P(k) at redshift z=0
# for k=9.92482e-06 to 1.66047 h/Mpc,
# number of wavenumbers equal to 555
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.924824063509e-06       5.593282380499e+01 
       2.202202907600e-05       1.206833078588e+02 
       3.415702727668e-05       1.843192683853e+02 
       4.635860930148e-05       2.474873620940e+02 
       5.865598826616e-05       3.105507700577e+02 
       7.107902962056e-05       3.737779695176e+02 
       8.365848754363e-05       4.373956913316e+02 
       9.642625067723e-05       5.016104908362e+02 
       1.094156000198e-04       5.666196499588e+02 
       1.226614818279e-04       6.326176422329e+02 
       1.362007983898e-04       6.998004897542e+02 
       1.500727195269e-04       7.683690552892e+02 
       1.643190176131e-04       8.385317519582e+02 
       1.789844287530e-04       9.105069480073e+02 
       1.941170424815e-04       9.845252337652e+02 
       2.097687218720e-04       1.060831575504e+03 
       2.259955552050e-04       1.139687519298e+03 
       2.428583392424e-04       1.221373352411e+03 
       2.604230925539e-04       1.306190309888e+03 
       2.787615951029e-04       1.394462765933e+03 
       2.979519472242e-04       1.486540399091e+03 
       3.180791370215e-04       1.582800260862e+03 
       3.392355998440e-04       1.683648666614e+03 
       3.615217466620e-04       1.789522783497e+03 
       3.850464296961e-04       1.900891744939e+03 
       4.099273035190e-04       2.018257121872e+03 
       4.362910282508e-04       2.142152425457e+03 
       4.642732489557e-04       2.273141417937e+03 
       4.940182730481e-04       2.411814778473e+03 
       5.256783572597e-04       2.558784872461e+03 
       5.594125102357e-04       2.714678078881e+03 
       5.953847197575e-04       2.880124477747e+03 
       6.337615291902e-04       3.055744584377e+03 
       6.747089203483e-04       3.242133029713e+03 
       7.183885126372e-04       3.439839562365e+03 
       7.649531613468e-04       3.649347745228e+03 
       8.145421268511e-04       3.871052519638e+03 
       8.672760806401e-04       4.105237875772e+03 
       9.232522969066e-04       4.352056509695e+03 
       9.825404295128e-04       4.611513273078e+03 
       1.045179274487e-03       4.883454330107e+03 
       1.111174856481e-03       5.167563526426e+03 
       1.180500056034e-03       5.463366436609e+03 
       1.253095830900e-03       5.770242597396e+03 
       1.328873909008e-03       6.087401618377e+03 
       1.407720676891e-03       6.414029574762e+03 
       1.489501883539e-03       6.749200280135e+03 
       1.574067739736e-03       7.091936733801e+03 
       1.661258015256e-03       7.441239433829e+03 
       1.750906805770e-03       7.796109600498e+03 
       1.842846736646e-03       8.155569474681e+03 
       1.936912470946e-03       8.518678142913e+03 
       2.032943477699e-03       8.884543694107e+03 
       2.130786085182e-03       9.252331684549e+03 
       2.230294889571e-03       9.621269497343e+03 
       2.331333614156e-03       9.990648588365e+03 
       2.433775522476e-03       1.035982451212e+04 
       2.537503485481e-03       1.072821513241e+04 
       2.642409792567e-03       1.109529671725e+04 
       2.748395782807e-03       1.146060156254e+04 
       2.855371358394e-03       1.182371440490e+04 
       2.963254428766e-03       1.218426672526e+04 
       3.071970322024e-03       1.254193349436e+04 
       3.181451190265e-03       1.289642980419e+04 
       3.291635427472e-03       1.324750615954e+04 
       3.402467112339e-03       1.359494337135e+04 
       3.513895483714e-03       1.393855262719e+04 
       3.625874452838e-03       1.427817282022e+04 
       3.738362154076e-03       1.461366139913e+04 
       3.851320534105e-03       1.494490360468e+04 
       3.964714978355e-03       1.527179640471e+04 
       4.078513972796e-03       1.559425680885e+04 
       4.192688798716e-03       1.591221694219e+04 
       4.307213257952e-03       1.622561902860e+04 
       4.422063425971e-03       1.653442054402e+04 
       4.537217430267e-03       1.683858919428e+04 
       4.652655251632e-03       1.713809845135e+04 
       4.768358546019e-03       1.743293135624e+04 
       4.884310484898e-03       1.772308061746e+04 
       5.000495612168e-03       1.800853952503e+04 
       5.116899715864e-03       1.828931181737e+04 
       5.233509713091e-03       1.856540564053e+04 
       5.350313546752e-03       1.883683140706e+04 
       5.467300092795e-03       1.910360777954e+04 
       5.584459076849e-03       1.936575241636e+04 
       5.701780999229e-03       1.962328635045e+04 
       5.819257067400e-03       1.987623930439e+04 
       5.936879135119e-03       2.012462857377e+04 
       6.054639647517e-03       2.036849471035e+04 
       6.172531591504e-03       2.060786783698e+04 
       6.290548450930e-03       2.084277771129e+04 
       6.408684166001e-03       2.107326166742e+04 
