# Matter power spectrum P(k) at redshift z=0
# for k=9.94738e-06 to 1.67109 h/Mpc,
# number of wavenumbers equal to 555
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.947377491553e-06       5.604939603523e+01 
       2.208179166128e-05       1.209859858814e+02 
       3.425432945522e-05       1.848049310556e+02 
       4.649404882963e-05       2.481556900270e+02 
       5.883043660133e-05       3.114031974509e+02 
       7.129364188020e-05       3.748173468138e+02 
       8.391471618168e-05       4.386261786876e+02 
       9.672586307783e-05       5.030375093490e+02 
       1.097607002688e-04       5.682498827644e+02 
       1.230545369835e-04       6.344590563025e+02 
       1.366446696360e-04       7.018623852341e+02 
       1.505706986511e-04       7.706621168912e+02 
       1.648748693065e-04       8.410681423243e+02 
       1.796024392829e-04       9.133003480774e+02 
       1.948020753179e-04       9.875909702117e+02 
       2.105262808723e-04       1.064186661182e+03 
       2.268318559457e-04       1.143350757007e+03 
       2.437803890294e-04       1.225365435682e+03 
       2.614387795222e-04       1.310533817346e+03 
       2.798797866058e-04       1.399182209033e+03 
       2.991825973799e-04       1.491662174217e+03 
       3.194334027927e-04       1.588352583384e+03 
       3.407259643259e-04       1.689661328789e+03 
       3.631621472977e-04       1.796026808566e+03 
       3.868523878718e-04       1.907918868880e+03 
       4.119160503802e-04       2.025838999385e+03 
       4.384816196020e-04       2.150319540449e+03 
       4.666866598074e-04       2.281921523747e+03 
       4.966774598568e-04       2.421230937446e+03 
       5.286082734126e-04       2.568852784355e+03 
       5.626400582459e-04       2.725402786819e+03 
       5.989386225139e-04       2.891496072866e+03 
       6.376721031808e-04       3.067733144401e+03 
       6.790077368315e-04       3.254682611598e+03 
       7.231079389931e-04       3.452861222522e+03 
       7.701257846348e-04       3.662711708621e+03 
       8.202000746101e-04       3.884579953222e+03 
       8.734502689008e-04       4.118692268239e+03 
       9.299716499389e-04       4.365135001525e+03 
       9.898311269530e-04       4.623839170167e+03 
       1.053064086093e-03       4.894570257031e+03 
       1.119672620682e-03       5.176926177099e+03 
       1.189625345381e-03       5.470343902844e+03 
       1.262858827352e-03       5.774109233108e+03 
       1.339280488557e-03       6.087348958127e+03 
       1.418772680886e-03       6.409164400581e+03 
       1.501197537210e-03       6.738548108929e+03 
       1.586402169234e-03       7.074452751587e+03 
       1.674223813290e-03       7.415815627891e+03 
       1.764494601238e-03       7.761583679811e+03 
       1.857045733113e-03       8.110735417163e+03 
       1.951710929851e-03       8.462293659286e+03 
       2.048329132838e-03       8.815338603559e+03 
       2.146746483829e-03       9.169015158887e+03 
       2.246817662218e-03       9.522534430731e+03 
       2.348406679073e-03       9.875181486487e+03 
       2.451387233624e-03       1.022630797735e+04 
       2.555642733108e-03       1.057533512804e+04 
       2.661066065608e-03       1.092174458119e+04 
       2.767559201421e-03       1.126507995767e+04 
       2.875032683839e-03       1.160493853220e+04 
       2.983405056648e-03       1.194096948907e+04 
       3.092602263789e-03       1.227286524094e+04 
       3.202557046774e-03       1.260036602752e+04 
       3.313208357622e-03       1.292324711397e+04 
       3.424500798955e-03       1.324132255742e+04 
       3.536384098356e-03       1.355443395303e+04 
       3.648812620683e-03       1.386245425705e+04 
       3.761744919696e-03       1.416528430999e+04 
       3.875143328673e-03       1.446284242127e+04 
       3.988973588626e-03       1.475507495487e+04 
       4.103204512032e-03       1.504194062335e+04 
       4.217807679642e-03       1.532342119892e+04 
       4.332757167737e-03       1.559950107794e+04 
       4.448029303198e-03       1.587019476042e+04 
       4.563602443786e-03       1.613550919551e+04 
       4.679456781205e-03       1.639546525592e+04 
       4.795574164643e-03       1.665010487493e+04 
       4.911937942671e-03       1.689945678825e+04 
       5.028532821588e-03       1.714357450460e+04 
       5.145344738445e-03       1.738249957636e+04 
       5.262360747172e-03       1.761628316171e+04 
       5.379568916406e-03       1.784498536612e+04 
       5.496958237733e-03       1.806866972562e+04 
       5.614518543231e-03       1.828739037066e+04 
       5.732240431286e-03       1.850120813183e+04 
       5.850115199819e-03       1.871021371999e+04 
       5.968134786084e-03       1.891445327284e+04 
       6.086291712375e-03       1.911398799875e+04 
       6.204579036977e-03       1.930890735642e+04 
       6.322990309834e-03       1.949926373706e+04 
       6.441519532413e-03       1.968511638828e+04 
       6.560161121352e-03       1.986658486839e+04 
       6.678909875473e-03       2.004368348378e+04 
       6.797760945843e-03       2.021649897841e+04 
       6.916709808545e-03       2.038509990782e+04 
       7.035752239915e-03       2.054954714332e+04 
       7.154884293964e-03       2.070990458337e+04 
       7.274102281811e-03       2.086623767570e+04 
       7.393402752887e-03       2.101861445976e+04 
       7.512782477773e-03       2.116707805541e+04 
       7.632238432493e-03       2.131170409676e+04 
       7.751767784137e-03       2.145255550236e+04 
       7.871367877679e-03       2.158967051064e+04 
       7.991036223887e-03       2.172312724135e+04 
       8.110770488219e-03       2.185296748276e+04 
       8.230568480617e-03       2.197925528059e+04 
       8.350428146119e-03       2.210203858548e+04 
       8.470347556216e-03       2.222136595367e+04 
       8.590324900885e-03       2.233729430645e+04 
       8.710358481240e-03       2.244987762086e+04 
       8.830446702754e-03       2.255915913403e+04 
       8.950588068992e-03       2.266519503174e+04 
       9.070781175824e-03       2.276803060056e+04 
       9.191024706065e-03       2.286771351882e+04 
       9.311317424518e-03       2.296428965531e+04 
       9.431658173378e-03       2.305781022004e+04 
       9.552045867979e-03       2.314831364730e+04 
       9.672479492840e-03       2.323584782186e+04 
       9.792958098005e-03       2.332046594927e+04 
       9.913480795636e-03       2.340219378285e+04 
       1.003404675686e-02       2.348110063285e+04 
       1.015465520881e-02       2.355720655400e+04 
       1.027530543194e-02       2.363057137935e+04 
       1.039599675742e-02       2.370121313079e+04 
       1.051672856484e-02       2.376920551262e+04 
       1.063750027994e-02       2.383456749408e+04 
       1.075831137263e-02       2.389733992659e+04 
       1.087916135503e-02       2.395757316422e+04 
       1.100004977974e-02       2.401528993506e+04 
       1.112097623812e-02       2.407054310689e+04 
       1.124194035884e-02       2.412336892786e+04 
       1.136294180635e-02       2.417380135627e+04 
       1.148398027961e-02       2.422188101631e+04 
       1.160505551083e-02       2.426764612189e+04 
       1.172616726428e-02       2.431111824656e+04 
       1.184731533527e-02       2.435235664829e+04 
       1.196849954908e-02       2.439138054987e+04 
       1.208971976008e-02       2.442823012386e+04 
       1.221097585085e-02       2.446294306063e+04 
       1.233226773137e-02       2.449554408855e+04 
       1.245359533828e-02       2.452607745100e+04 
       1.257495863417e-02       2.455456237622e+04 
       1.269635760699e-02       2.458104328209e+04 
       1.281779226940e-02       2.460553492607e+04 
       1.293926265829e-02       2.462808966634e+04 
       1.306076883423e-02       2.464871204985e+04 
       1.318231088102e-02       2.466744869487e+04 
       1.330388890530e-02       2.468433178866e+04 
       1.342550303616e-02       2.469939329796e+04 
       1.354715342475e-02       2.471264263035e+04 
       1.366884024403e-02       2.472411872759e+04 
       1.379056368845e-02       2.473385596426e+04 
       1.391232397372e-02       2.474187171128e+04 
       1.403412133657e-02       2.474818792607e+04 
       1.415595603458e-02       2.475285347917e+04 
       1.427782834598e-02       2.475585726519e+04 
       1.439973856956e-02       2.475727236263e+04 
       1.452168702450e-02       2.475707334081e+04 
       1.464367405033e-02       2.475531967198e+04 
       1.476570000680e-02       2.475201946013e+04 
       1.488776527390e-02       2.474720667940e+04 
       1.500987025178e-02       2.474088704936e+04 
       1.513201536080e-02       2.473311429471e+04 
       1.525420104147e-02       2.472387791829e+04 
       1.537642775458e-02       2.471322690212e+04 
       1.549869598115e-02       2.470116114150e+04 
       1.562100622261e-02       2.468771588277e+04 
       1.574335900081e-02       2.467290931298e+04 
       1.586575485816e-02       2.465676019686e+04 
       1.598819435777e-02       2.463929832246e+04 
       1.611067808357e-02       2.462052793557e+04 
       1.623320664048e-02       2.460049238569e+04 
       1.635578065461e-02       2.457919100322e+04 
       1.647840077343e-02       2.455664351572e+04 
       1.660106766597e-02       2.453288683892e+04 
       1.672378202310e-02       2.450792693401e+04 
       1.684654455772e-02       2.448178266994e+04 
       1.696935600505e-02       2.445450300528e+04 
       1.709221712290e-02       2.442604534584e+04 
       1.721512869197e-02       2.439647706704e+04 
       1.733809151616e-02       2.436581444813e+04 
       1.746110642287e-02       2.433406078815e+04 
       1.758417426339e-02       2.430122026744e+04 
       1.770729591321e-02       2.426733269741e+04 
       1.783047227244e-02       2.423242695674e+04 
       1.795370426617e-02       2.419649538566e+04 
       1.807699284489e-02       2.415957115968e+04 
       1.820033898493e-02       2.412165294707e+04 
       1.832374368887e-02       2.408276494191e+04 
       1.844720798605e-02       2.404293954418e+04 
       1.857073293300e-02       2.400219557018e+04 
       1.869431961397e-02       2.396052282778e+04 
       1.881796914145e-02       2.391792218303e+04 
       1.894168265667e-02       2.387447268606e+04 
       1.906546133017e-02       2.383015166072e+04 
