# Matter power spectrum P(k) at redshift z=0
# for k=9.84599e-06 to 1.58038 h/Mpc,
# number of wavenumbers equal to 553
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.845989839277e-06       5.829788832047e+01 
       2.198839298328e-05       1.265708952664e+02 
       3.416873877850e-05       1.936601177705e+02 
       4.641614153500e-05       2.602534918622e+02 
       5.876014380722e-05       3.267361786075e+02 
       7.123095057439e-05       3.933926668123e+02 
       8.385967010691e-05       4.604631498462e+02 
       9.667856439051e-05       5.281664408832e+02 
       1.097213120033e-04       5.967115535783e+02 
       1.230232863679e-04       6.663045424335e+02 
       1.366218523192e-04       7.371531415260e+02 
       1.505566839133e-04       8.094702331152e+02 
       1.648701063408e-04       8.834767124689e+02 
       1.796074646461e-04       9.594040682177e+02 
       1.948175216622e-04       1.037496725364e+03 
       2.105528870774e-04       1.118014359083e+03 
       2.268704787763e-04       1.201234221459e+03 
       2.438320164430e-04       1.287453349353e+03 
       2.615045457409e-04       1.376990943067e+03 
       2.799609890433e-04       1.470190594122e+03 
       2.992807154717e-04       1.567422583793e+03 
       3.195501187102e-04       1.669085872331e+03 
       3.408631854532e-04       1.775610093100e+03 
       3.633220302041e-04       1.887457093452e+03 
       3.870373633135e-04       2.005121826687e+03 
       4.121288486019e-04       2.129132699904e+03 
       4.387252948775e-04       2.260050565221e+03 
       4.669646127556e-04       2.398466706909e+03 
       4.969934556126e-04       2.544998674092e+03 
       5.289664532507e-04       2.700284064906e+03 
       5.630449418084e-04       2.864971990846e+03 
       5.993950974705e-04       3.039710931858e+03 
       6.381853990747e-04       3.225133979091e+03 
       6.795833801796e-04       3.421840655845e+03 
       7.237516875547e-04       3.630375781369e+03 
       7.708435402324e-04       3.851206459964e+03 
       8.209977759656e-04       4.084697357395e+03 
       8.743337684722e-04       4.331087311403e+03 
       9.309465813574e-04       4.590467708478e+03 
       9.909027718652e-04       4.862766136879e+03 
       1.054237250462e-03       5.147735752851e+03 
       1.120951530470e-03       5.444953740791e+03 
       1.191013569866e-03       5.753827199251e+03 
       1.264359235357e-03       6.073604146173e+03 
       1.340895239145e-03       6.403367370077e+03 
       1.420503246321e-03       6.742171249723e+03 
       1.503044752921e-03       7.088956795647e+03 
       1.588366303603e-03       7.442621971351e+03 
       1.676304649426e-03       7.802049759216e+03 
       1.766691523375e-03       8.166134840521e+03 
       1.859357811499e-03       8.533802643100e+03 
       1.954136999637e-03       8.904026564006e+03 
       2.050867864087e-03       9.275842135316e+03 
       2.149396441276e-03       9.648348271451e+03 
       2.249577354484e-03       1.002072129228e+04 
       2.351274597881e-03       1.039220878734e+04 
       2.454361884007e-03       1.076212918872e+04 
       2.558722655848e-03       1.112987700270e+04 
       2.664249853201e-03       1.149490657421e+04 
       2.770845508786e-03       1.185673847293e+04 
       2.878420234895e-03       1.221494992809e+04 
       2.986892647698e-03       1.256917017425e+04 
       3.096188764512e-03       1.291907698264e+04 
       3.206241399466e-03       1.326439312145e+04 
       3.316989575204e-03       1.360488186777e+04 
       3.428377962150e-03       1.394034298012e+04 
       3.540356352323e-03       1.427060618664e+04 
       3.652879171364e-03       1.459553487765e+04 
       3.765905030024e-03       1.491501936983e+04 
       3.879396314776e-03       1.522897122531e+04 
       3.993318816104e-03       1.553732795526e+04 
       4.107641392370e-03       1.584004231565e+04 
       4.222335666797e-03       1.613708971244e+04 
       4.337375754919e-03       1.642845348176e+04 
       4.452738019851e-03       1.671413961677e+04 
       4.568400852783e-03       1.699415880094e+04 
       4.684344476243e-03       1.726853088971e+04 
       4.800550767837e-03       1.753729000842e+04 
       4.917003102336e-03       1.780046757182e+04 
       5.033686210199e-03       1.805812172967e+04 
       5.150586050762e-03       1.831028642055e+04 
       5.267689698521e-03       1.855702729906e+04 
       5.384985241105e-03       1.879839393278e+04 
       5.502461687644e-03       1.903445783693e+04 
       5.620108886436e-03       1.926527370648e+04 
       5.737917450881e-03       1.949090299062e+04 
       5.855878692796e-03       1.971144159926e+04 
       5.973984562319e-03       1.992693450366e+04 
       6.092227593692e-03       2.013744978864e+04 
       6.210600856294e-03       2.034307556504e+04 
       6.329097910379e-03       2.054387339602e+04 
       6.447712767003e-03       2.073989967990e+04 
       6.566439851733e-03       2.093128460411e+04 
       6.685273971712e-03       2.111804079011e+04 
       6.804210285769e-03       2.130026053648e+04 
       6.923244277237e-03       2.147801738488e+04 
       7.042371729223e-03       2.165137547289e+04 
       7.161588702081e-03       2.182040402564e+04 
       7.280891512864e-03       2.198517257455e+04 
       7.400276716570e-03       2.214575349858e+04 
       7.519741089005e-03       2.230220213038e+04 
       7.639281611098e-03       2.245458664666e+04 
       7.758895454555e-03       2.260297967268e+04 
       7.878579968693e-03       2.274742279521e+04 
       7.998332668373e-03       2.288800435835e+04 
       8.118151222913e-03       2.302476749481e+04 
       8.238033445902e-03       2.315776663827e+04 
       8.357977285825e-03       2.328707480941e+04 
       8.477980817431e-03       2.341272683484e+04 
       8.598042233787e-03       2.353478703827e+04 
       8.718159838935e-03       2.365332471656e+04 
       8.838332041127e-03       2.376837092472e+04 
       8.958557346571e-03       2.387998926257e+04 
       9.078834353649e-03       2.398822576212e+04 
       9.199161747569e-03       2.409313616731e+04 
       9.319538295413e-03       2.419476412861e+04 
       9.439962841556e-03       2.429316097022e+04 
       9.560434303410e-03       2.438838097646e+04 
       9.680951667484e-03       2.448045856997e+04 
       9.801513985728e-03       2.456944789107e+04 
       9.922120372130e-03       2.465539683095e+04 
       1.004276999957e-02       2.473835475882e+04 
       1.016346209687e-02       2.481835727664e+04 
       1.028419594609e-02       2.489545939286e+04 
       1.040497087997e-02       2.496968509788e+04 
       1.052578627961e-02       2.504109941026e+04 
       1.064664157220e-02       2.510973831074e+04 
       1.076753622905e-02       2.517563542634e+04 
       1.088846976365e-02       2.523883360501e+04 
       1.100944172990e-02       2.529938402819e+04 
       1.113045172046e-02       2.535731995082e+04 
       1.125149936522e-02       2.541268441276e+04 
       1.137258432986e-02       2.546550357200e+04 
       1.149370631450e-02       2.551584353317e+04 
       1.161486505249e-02       2.556372408995e+04 
       1.173606030923e-02       2.560918262729e+04 
       1.185729188112e-02       2.565225918473e+04 
       1.197855959452e-02       2.569299164780e+04 
       1.209986330484e-02       2.573142560304e+04 
       1.222120289569e-02       2.576758511894e+04 
       1.234257827807e-02       2.580151682575e+04 
       1.246398938959e-02       2.583324325742e+04 
       1.258543619384e-02       2.586280200904e+04 
       1.270691867973e-02       2.589022030665e+04 
       1.282843686088e-02       2.591556904932e+04 
       1.294999077510e-02       2.593881951100e+04 
       1.307158048390e-02       2.596004815409e+04 
       1.319320607201e-02       2.597928340781e+04 
       1.331486764698e-02       2.599654997352e+04 
       1.343656533880e-02       2.601186790574e+04 
       1.355829929953e-02       2.602527275631e+04 
       1.368006970302e-02       2.603681445930e+04 
       1.380187674462e-02       2.604650852522e+04 
       1.392372064093e-02       2.605437661538e+04 
       1.404560162955e-02       2.606045764170e+04 
       1.416751996896e-02       2.606477179583e+04 
       1.428947593828e-02       2.606735484275e+04 
       1.441146983718e-02       2.606824126316e+04 
       1.453350198573e-02       2.606743237100e+04 
       1.465557272434e-02       2.606497453384e+04 
       1.477768241366e-02       2.606088741291e+04 
       1.489983143458e-02       2.605519987251e+04 
       1.502202018815e-02       2.604792330980e+04 
       1.514424909562e-02       2.603910236007e+04 
       1.526651859843e-02       2.602875976240e+04 
       1.538882915826e-02       2.601691666728e+04 
       1.551118125709e-02       2.600358326411e+04 
       1.563357539724e-02       2.598880054631e+04 
       1.575601210152e-02       2.597257577591e+04 
       1.587849191329e-02       2.595494617254e+04 
       1.600101539661e-02       2.593593626729e+04 
       1.612358313638e-02       2.591554340665e+04 
       1.624619573851e-02       2.589381285445e+04 
       1.636885383007e-02       2.587074517454e+04 
       1.649155805955e-02       2.584639910086e+04 
       1.661430909700e-02       2.582077129363e+04 
       1.673710763430e-02       2.579387695547e+04 
       1.685995438540e-02       2.576574652889e+04 
       1.698285008658e-02       2.573637270492e+04 
       1.710579549672e-02       2.570582312954e+04 
       1.722879139760e-02       2.567409549414e+04 
       1.735183859422e-02       2.564119168812e+04 
       1.747493791511e-02       2.560716640802e+04 
       1.759809021269e-02       2.557199758097e+04 
       1.772129636361e-02       2.553574880302e+04 
       1.784455726916e-02       2.549841335635e+04 
       1.796787385562e-02       2.545998630040e+04 
       1.809124707469e-02       2.542053288678e+04 
       1.821467790395e-02       2.538004834062e+04 
       1.833816734723e-02       2.533853216993e+04 
       1.846171643515e-02       2.529605560690e+04 
       1.858532622556e-02       2.525259645876e+04 
       1.870899780403e-02       2.520814097589e+04 
       1.883273228439e-02       2.516278346375e+04 
       1.895653080926e-02       2.511651292438e+04 
       1.908039455059e-02       2.506927397591e+04 
       1.920432471027e-02       2.502121186762e+04 
       1.932832252067e-02       2.497223969744e+04 
       1.945238924529e-02       2.492242791963e+04 
       1.957652617939e-02       2.487174987112e+04 
       1.970073465066e-02       2.482027269128e+04 
       1.982501601986e-02       2.476795553131e+04 
       1.994937168156e-02       2.471487175314e+04 
       2.007380306481e-02       2.466098771011e+04 
       2.019831163398e-02       2.460637901462e+04 
       2.032289888942e-02       2.455098472784e+04 
       2.044756636833e-02       2.449485662344e+04 
       2.057231564556e-02       2.443801499216e+04 
       2.069714833446e-02       2.438045209207e+04 
       2.082206608774e-02       2.432225744443e+04 
       2.094707059838e-02       2.426338572457e+04 
       2.107216360056e-02       2.420381742812e+04 
       2.119734687063e-02       2.414359608634e+04 
       2.132262222808e-02       2.408277363128e+04 
       2.144799153658e-02       2.402130214658e+04 
       2.157345670502e-02       2.395928193936e+04 
       2.169901968859e-02       2.389660856955e+04 
       2.182468248993e-02       2.383337534589e+04 
       2.195044716024e-02       2.376960013742e+04 
       2.207631580053e-02       2.370528920946e+04 
       2.220229056279e-02       2.364038048090e+04 
       2.232837365130e-02       2.357500291120e+04 
       2.245456732394e-02       2.350908808671e+04 
       2.258087389351e-02       2.344268228608e+04 
       2.270729572917e-02       2.337578605300e+04 
       2.283383525783e-02       2.330839267800e+04 
       2.296049496567e-02       2.324061373312e+04 
       2.308727739970e-02       2.317235077547e+04 
       2.321418516926e-02       2.310361590838e+04 
       2.334122094774e-02       2.303444724500e+04 
       2.346838747424e-02       2.296489675880e+04 
       2.359568755531e-02       2.289495290471e+04 
       2.372312406676e-02       2.282464138626e+04 
       2.385069995551e-02       2.275389727844e+04 
       2.397841824156e-02       2.268281145365e+04 
       2.410628201993e-02       2.261131505512e+04 
       2.423429446275e-02       2.253950386132e+04 
       2.436245882135e-02       2.246742777703e+04 
       2.449077842854e-02       2.239493783114e+04 
       2.461925670079e-02       2.232216320859e+04 
       2.474789714065e-02       2.224907725235e+04 
       2.487670333918e-02       2.217571080354e+04 
       2.500567897845e-02       2.210202647994e+04 
       2.513482783416e-02       2.202811272009e+04 
       2.526415377836e-02       2.195386277917e+04 
       2.539366078224e-02       2.187942356662e+04 
       2.552335291903e-02       2.180476124514e+04 
       2.565323436700e-02       2.172974558375e+04 
       2.578330941260e-02       2.165458373047e+04 
       2.591358245366e-02       2.157921295393e+04 
       2.604405800277e-02       2.150361575851e+04 
       2.617474069071e-02       2.142779190496e+04 
       2.630563527012e-02       2.135178738699e+04 
       2.643674661917e-02       2.127562917615e+04 
       2.656807974547e-02       2.119925518070e+04 
       2.669963979014e-02       2.112272931700e+04 
       2.683143203193e-02       2.104607856019e+04 
       2.696346189159e-02       2.096920126500e+04 
       2.709573493641e-02       2.089231708030e+04 
       2.722825688491e-02       2.081519085405e+04 
       2.736103361169e-02       2.073793119509e+04 
       2.749407115255e-02       2.066058570310e+04 
       2.762737570975e-02       2.058307146093e+04 
       2.776095365751e-02       2.050552203237e+04 
       2.789481154776e-02       2.042782751000e+04 
       2.802895611605e-02       2.035003439491e+04 
       2.816339428781e-02       2.027221371620e+04 
       2.829813318479e-02       2.019428125581e+04 
       2.843318013183e-02       2.011629635693e+04 
       2.856854266385e-02       2.003818804237e+04 
       2.870422853325e-02       1.996010240942e+04 
       2.884024571751e-02       1.988188601044e+04 
       2.897660242721e-02       1.980363473749e+04 
       2.911330711437e-02       1.972539050004e+04 
       2.925036848116e-02       1.964707749311e+04 
       2.938779548905e-02       1.956872026338e+04 
       2.952559736827e-02       1.949040338055e+04 
       2.966378362784e-02       1.941198444750e+04 
       2.980236406597e-02       1.933353195642e+04 
       2.994134878093e-02       1.925512050747e+04 
       3.008074818257e-02       1.917674930810e+04 
       3.022057300421e-02       1.909831211432e+04 
       3.036083431523e-02       1.901987210902e+04 
       3.050154353421e-02       1.894146622348e+04 
       3.064271244273e-02       1.886309497726e+04 
       3.078435319991e-02       1.878476587684e+04 
       3.092647835752e-02       1.870633597357e+04 
       3.106910087605e-02       1.862805356281e+04 
       3.121223414148e-02       1.854972576090e+04 
       3.135589198292e-02       1.847141570132e+04 
       3.150008869119e-02       1.839317672463e+04 
       3.164483903841e-02       1.831496886802e+04 
       3.179015829858e-02       1.823677078739e+04 
       3.193606226928e-02       1.815868973186e+04 
       3.208256729457e-02       1.808054084108e+04 
       3.222969028909e-02       1.800262907407e+04 
       3.237744876361e-02       1.792461394022e+04 
       3.252586085187e-02       1.784665207493e+04 
       3.267494533904e-02       1.776881182002e+04 
       3.282472169184e-02       1.769101131039e+04 
       3.297521009025e-02       1.761322605773e+04 
       3.312643146129e-02       1.753558847601e+04 
       3.327840751462e-02       1.745788522601e+04 
       3.343116078045e-02       1.738035301147e+04 
       3.358471464956e-02       1.730284946667e+04 
       3.373909341599e-02       1.722543807890e+04 
       3.389432232220e-02       1.714808358031e+04 
       3.405042760721e-02       1.707079046975e+04 
