# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#         x_e = electron ionization fraction
#      -kappa = optical depth
#      kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#           g = kappa' e^-kappa = visibility function 
#          Tb = baryon temperature 
#         w_b = baryon equation of state parameter 
#       c_b^2 = baryon sound speed squared 
#       tau_d = baryon drag optical depth 
#    1:scale factor a         2:z                      3:conf. time [Mpc]       4:x_e                    5:kappa' [Mpc^-1]        6:exp(-kappa)            7:g [Mpc^-1]             8:Tb [K]                 9:dTb [K]               10:w_b                   11:c_b^2                 12:kappa_b            
       6.023856858847e-01       6.600660066007e-01       1.164564893770e+04       1.163657329880e+00       1.247368157747e-06       9.981359192965e-01       1.245042962834e-06       9.459979444040e-01       1.069675703380e+00       1.471590568233e-13       2.392364544014e-13       3.754964387778e-06 
       5.969908651263e-01       6.750675067507e-01       1.160146701335e+04       1.163657270880e+00       1.270014111731e-06       9.980804145861e-01       1.267576211166e-06       9.620989921631e-01       1.076899284621e+00       1.496637253546e-13       2.432006182610e-13       3.891652798121e-06 
       5.916918160838e-01       6.900690069007e-01       1.155766879530e+04       1.163657208232e+00       1.292863783871e-06       9.980244006127e-01       1.290309602972e-06       9.783079854162e-01       1.084068432403e+00       1.521851854635e-13       2.471880412618e-13       4.030844044617e-06 
       5.864860109097e-01       7.050705070507e-01       1.151424420097e+04       1.163657141710e+00       1.315917173665e-06       9.979678729373e-01       1.313243062764e-06       9.946241074722e-01       1.091183132458e+00       1.547233100766e-13       2.511984680241e-13       4.172572169731e-06 
       5.813710099424e-01       7.200720072007e-01       1.147119056889e+04       1.163657071075e+00       1.339174280571e-06       9.979108364942e-01       1.336376526536e-06       1.011046530337e+00       1.098243359517e+00       1.572779703599e-13       2.552316403812e-13       4.316847805238e-06 
       5.763444578938e-01       7.350735073507e-01       1.142850514978e+04       1.163656996072e+00       1.362635104009e-06       9.978532961283e-01       1.359709929955e-06       1.027574399477e+00       1.105249059736e+00       1.598490333492e-13       2.592872933844e-13       4.463681503163e-06 
       5.714040802332e-01       7.500750075008e-01       1.138618511596e+04       1.163656916432e+00       1.386299643352e-06       9.977952566121e-01       1.383243208380e-06       1.044206958005e+00       1.112200296331e+00       1.624363812671e-13       2.633651877267e-13       4.613083680598e-06 
       5.665476797552e-01       7.650765076508e-01       1.134422757000e+04       1.163656831867e+00       1.410167897929e-06       9.977367226430e-01       1.406976296856e-06       1.060943388593e+00       1.119097062126e+00       1.650398869314e-13       2.674650684481e-13       4.765064638098e-06 
       5.617731333221e-01       7.800780078008e-01       1.130262955289e+04       1.163656742074e+00       1.434239867016e-06       9.976776988461e-01       1.430909130118e-06       1.077782873910e+00       1.125939351501e+00       1.676594231570e-13       2.715866807058e-13       4.919634558650e-06 
       5.570783887682e-01       7.950795079508e-01       1.126138805146e+04       1.163656646728e+00       1.458515549838e-06       9.976181897747e-01       1.455041642588e-06       1.094724596628e+00       1.132727160216e+00       1.702948627557e-13       2.757297697630e-13       5.076803511655e-06 
       5.524614619592e-01       8.100810081008e-01       1.122050000536e+04       1.163656545487e+00       1.482994945558e-06       9.975581999121e-01       1.479373768370e-06       1.111767739415e+00       1.139460485243e+00       1.729460785361e-13       2.798940809784e-13       5.236581455505e-06 
       5.479204339964e-01       8.250825082508e-01       1.117996231346e+04       1.163656437986e+00       1.507678053280e-06       9.974977336724e-01       1.503905441254e-06       1.128911484944e+00       1.146139324612e+00       1.756129433033e-13       2.840793597955e-13       5.398978240441e-06 
       5.434534485570e-01       8.400840084008e-01       1.113977183976e+04       1.163656323838e+00       1.532564872038e-06       9.974367954022e-01       1.528636594712e-06       1.146155015884e+00       1.152763677265e+00       1.782953298587e-13       2.882853517334e-13       5.564003611270e-06 
       5.390587093644e-01       8.550855085509e-01       1.109992541892e+04       1.163656202632e+00       1.557655400796e-06       9.973753893818e-01       1.553567161892e-06       1.163497514906e+00       1.159333542927e+00       1.809931109994e-13       2.925118023765e-13       5.731667210015e-06 
       5.347344777796e-01       8.700870087009e-01       1.106041986134e+04       1.163656073931e+00       1.582949638440e-06       9.973135198258e-01       1.578697075620e-06       1.180938164680e+00       1.165848921980e+00       1.837061595185e-13       2.967584573652e-13       5.901978578570e-06 
       5.304790705077e-01       8.850885088509e-01       1.102125195781e+04       1.163655937272e+00       1.608447583774e-06       9.972511908850e-01       1.604026268395e-06       1.198476147877e+00       1.172309815349e+00       1.864343482043e-13       3.010250623873e-13       6.074947161061e-06 
       5.262908574135e-01       9.000900090009e-01       1.098241848390e+04       1.163655792163e+00       1.634149235511e-06       9.971884066470e-01       1.629554672382e-06       1.216110647167e+00       1.178716224398e+00       1.891775498403e-13       3.053113631685e-13       6.250582307000e-06 
