# Matter power spectrum P(k) at redshift z=0
# for k=9.94724e-06 to 1.67335 h/Mpc,
# number of wavenumbers equal to 555
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.947242760766e-06       5.604910262864e+01 
       2.208962546044e-05       1.210283554797e+02 
       3.427019101274e-05       1.848889713210e+02 
       4.651805477840e-05       2.482813214985e+02 
       5.886276226185e-05       3.115708486637e+02 
       7.133452331460e-05       3.750278627116e+02 
       8.396445304762e-05       4.388807803487e+02 
       9.678482232436e-05       5.033377904813e+02 
       1.098293207295e-04       5.685977994556e+02 
       1.231333349355e-04       6.348570005813e+02 
       1.367342454065e-04       7.023131164755e+02 
       1.506717443662e-04       7.711689016718e+02 
       1.649881778891e-04       8.416346825694e+02 
       1.797289148176e-04       9.139308945605e+02 
       1.949427449080e-04       9.882903941890e+02 
       2.106823081192e-04       1.064960447933e+03 
       2.270045561773e-04       1.144205129731e+03 
       2.439712463922e-04       1.226307374211e+03 
       2.616494660267e-04       1.311571210206e+03 
       2.801121831684e-04       1.400323895359e+03 
       2.994388168339e-04       1.492918109725e+03 
       3.197158147346e-04       1.589733855311e+03 
       3.410372215129e-04       1.691180334015e+03 
       3.635052131053e-04       1.797697386428e+03 
       3.872305640482e-04       1.909756342230e+03 
       4.123330039843e-04       2.027860391408e+03 
       4.389414075891e-04       2.152543541978e+03 
       4.671937492267e-04       2.284368714050e+03 
       4.972367410861e-04       2.423923705368e+03 
       5.292250633182e-04       2.571815386727e+03 
       5.633200897141e-04       2.728661277568e+03 
       5.996880165646e-04       2.895078086005e+03 
       6.384973200134e-04       3.071667764655e+03 
       6.799155028312e-04       3.258999957632e+03 
       7.241051480934e-04       3.457592075929e+03 
       7.712193745655e-04       3.667886921506e+03 
       8.213968813727e-04       3.890229667219e+03 
       8.747568660228e-04       4.124845586743e+03 
       9.313941821580e-04       4.371819011790e+03 
       9.913751503121e-04       4.631078571995e+03 
       1.054734427326e-03       4.902386559699e+03 
       1.121473267794e-03       5.185337670898e+03 
       1.191559378430e-03       5.479364947132e+03 
       1.264928394071e-03       5.783749665362e+03 
       1.341486824419e-03       6.097617199447e+03 
       1.421116168548e-03       6.420064458244e+03 
       1.503677796729e-03       6.750082053195e+03 
       1.589018168633e-03       7.086619261774e+03 
       1.676973988863e-03       7.428611987584e+03 
       1.767376978194e-03       7.775006084165e+03 
       1.860058039234e-03       8.124779129288e+03 
       1.954850697176e-03       8.476953741299e+03 
       2.051593784645e-03       8.830609974162e+03 
       2.150133406050e-03       9.184893118939e+03 
       2.250324259769e-03       9.539016749625e+03 
       2.352030418465e-03       9.892264461875e+03 
       2.455125673699e-03       1.024399095081e+04 
       2.559493545859e-03       1.059361663754e+04 
       2.665027049041e-03       1.094062400338e+04 
       2.771628286179e-03       1.128455848339e+04 
       2.879207935124e-03       1.162501615685e+04 
       2.987684672691e-03       1.196164637791e+04 
       3.096984571885e-03       1.229414249305e+04 
       3.207040497680e-03       1.262224168857e+04 
       3.317791518943e-03       1.294571946480e+04 
       3.429182347971e-03       1.326438693940e+04 
       3.541162814630e-03       1.357808257790e+04 
       3.653687378699e-03       1.388667841943e+04 
       3.766714681687e-03       1.419007132198e+04 
       3.880207137757e-03       1.448817840338e+04 
       3.994130562309e-03       1.478094191040e+04 
       4.108453836129e-03       1.506831847435e+04 
       4.223148602618e-03       1.535028568940e+04 
       4.338188995478e-03       1.562682916169e+04 
       4.453551394189e-03       1.589795821936e+04 
       4.569214204697e-03       1.616367967476e+04 
       4.685157662843e-03       1.642401672118e+04 
       4.801363658251e-03       1.667900393332e+04 
       4.917815576563e-03       1.692867292191e+04 
       5.034498158071e-03       1.717307653984e+04 
       5.151397371020e-03       1.741225170755e+04 
       5.268500297990e-03       1.764625875482e+04 
       5.385795033945e-03       1.787514915100e+04 
       5.503270594689e-03       1.809898754321e+04 
       5.620916834594e-03       1.831782979932e+04 
       5.738724372593e-03       1.853173418197e+04 
       5.856684525555e-03       1.874079666232e+04 
       5.974789248232e-03       1.894505979831e+04 
       6.093031079086e-03       1.914458073083e+04 
       6.211403091365e-03       1.933945268669e+04 
       6.329898848864e-03       1.952973281043e+04 
       6.448512365897e-03       1.971549355446e+04 
       6.567238071021e-03       1.989680451997e+04 
       6.686070774132e-03       2.007373261417e+04 
       6.805005636594e-03       2.024634910053e+04 
       6.924038144082e-03       2.041472336243e+04 
       7.043164081862e-03       2.057891740981e+04 
       7.162379512287e-03       2.073899256197e+04 
       7.281680754257e-03       2.089502175392e+04 
       7.401064364486e-03       2.104707452095e+04 
       7.520527120365e-03       2.119520131765e+04 
       7.640066004303e-03       2.133946229079e+04 
       7.759678189375e-03       2.147993284676e+04 
       7.879361026176e-03       2.161664963933e+04 
       7.999112030756e-03       2.174970078616e+04 
       8.118928873545e-03       2.187911888964e+04 
       8.238809369165e-03       2.200496791901e+04 
       8.358751467070e-03       2.212730394873e+04 
       8.478753242916e-03       2.224617544529e+04 
       8.598812890617e-03       2.236163316531e+04 
       8.718928715011e-03       2.247373997086e+04 
       8.839099125097e-03       2.258253231058e+04 
       8.959322627784e-03       2.268807543039e+04 
       9.079597822114e-03       2.279040148993e+04 
       9.199923393914e-03       2.288957186055e+04 
       9.320298110855e-03       2.298561838089e+04 
       9.440720817862e-03       2.307861441416e+04 
       9.561190432870e-03       2.316858036577e+04 
       9.681705942880e-03       2.325556725225e+04 
       9.802266400309e-03       2.333963159453e+04 
       9.922870919587e-03       2.342081106401e+04 
       1.004351867401e-02       2.349913722390e+04 
       1.016420889281e-02       2.357466657646e+04 
       1.028494085842e-02       2.364744213800e+04 
       1.040571390394e-02       2.371749422974e+04 
       1.052652741080e-02       2.378488106640e+04 
       1.064738080654e-02       2.384962301687e+04 
       1.076827356277e-02       2.391177808776e+04 
       1.088920519328e-02       2.397137032654e+04 
       1.101017525226e-02       2.402845212309e+04 
       1.113118333265e-02       2.408305122743e+04 
       1.125222906459e-02       2.413520710976e+04 
       1.137331211402e-02       2.418497561894e+04 
       1.149443218130e-02       2.423237076485e+04 
       1.161558900002e-02       2.427744017593e+04 
       1.173678233581e-02       2.432022388754e+04 
       1.185801198528e-02       2.436074023984e+04 
       1.197927777500e-02       2.439904681857e+04 
       1.210057956059e-02       2.443516464397e+04 
       1.222191722587e-02       2.446914318611e+04 
       1.234329068199e-02       2.450099540189e+04 
       1.246469986680e-02       2.453076835423e+04 
       1.258614474405e-02       2.455848311232e+04 
       1.270762530281e-02       2.458418875782e+04 
       1.282914155690e-02       2.460790097944e+04 
       1.295069354429e-02       2.462966149130e+04 
       1.307228132665e-02       2.464950334562e+04 
       1.319390498888e-02       2.466744162295e+04 
       1.331556463868e-02       2.468352196703e+04 
       1.343726040621e-02       2.469776665287e+04 
       1.355899244367e-02       2.471019354086e+04 
       1.368076092508e-02       2.472085454654e+04 
       1.380256604593e-02       2.472976245803e+04 
       1.392440802295e-02       2.473696152072e+04 
       1.404628709393e-02       2.474245887746e+04 
       1.416820351745e-02       2.474628426005e+04 
       1.429015757280e-02       2.474847367286e+04 
       1.441214955978e-02       2.474905034508e+04 
       1.453417979861e-02       2.474802784482e+04 
       1.465624862984e-02       2.474544896378e+04 
       1.477835641427e-02       2.474132373300e+04 
       1.490050353290e-02       2.473568723732e+04 
       1.502269038695e-02       2.472854781132e+04 
       1.514491739780e-02       2.471994913872e+04 
       1.526718500703e-02       2.470991193550e+04 
       1.538949367646e-02       2.469843652846e+04 
       1.551184388820e-02       2.468557067992e+04 
       1.563423614474e-02       2.467132020824e+04 
       1.575667096901e-02       2.465572481179e+04 
       1.587914890451e-02       2.463878095211e+04 
       1.600167051545e-02       2.462052683103e+04 
       1.612423638687e-02       2.460097716011e+04 
       1.624684712482e-02       2.458016741075e+04 
       1.636950335655e-02       2.455808332875e+04 
       1.649220573066e-02       2.453478516420e+04 
       1.661495491736e-02       2.451027934326e+04 
       1.673775160869e-02       2.448457741180e+04 
       1.686059651874e-02       2.445769823802e+04 
       1.698349038395e-02       2.442964969423e+04 
       1.710643396336e-02       2.440048417063e+04 
       1.722942803891e-02       2.437020823270e+04 
       1.735247341575e-02       2.433882217638e+04 
       1.747557092258e-02       2.430636939645e+04 
       1.759872141199e-02       2.427285566670e+04 
       1.772192576080e-02       2.423826786048e+04 
       1.784518487045e-02       2.420267632123e+04 
       1.796849966740e-02       2.416606975691e+04 
       1.809187110355e-02       2.412847131068e+04 
       1.821530015662e-02       2.408991018551e+04 
       1.833878783066e-02       2.405037305953e+04 
       1.846233515645e-02       2.400993795683e+04 
       1.858594319203e-02       2.396855731956e+04 
       1.870961302318e-02       2.392623604355e+04 
       1.883334576391e-02       2.388305111765e+04 
       1.895714255704e-02       2.383902119506e+04 
       1.908100457474e-02       2.379407680036e+04 
       1.920493301908e-02       2.374832553638e+04 
       1.932892912266e-02       2.370174672985e+04 
       1.945299414919e-02       2.365434033478e+04 
       1.957712939416e-02       2.360615064812e+04 
       1.970133618548e-02       2.355717288088e+04 
       1.982561588413e-02       2.350739591228e+04 
       1.994996988491e-02       2.345692407570e+04 
       2.007439961714e-02       2.340568428123e+04 
       2.019890654540e-02       2.335373435114e+04 
       2.032349217031e-02       2.330107589966e+04 
       2.044815802933e-02       2.324769762427e+04 
       2.057290569756e-02       2.319367790764e+04 
       2.069773678862e-02       2.313896994932e+04 
       2.082265295549e-02       2.308367846139e+04 
       2.094765589143e-02       2.302764982921e+04 
       2.107274733093e-02       2.297106857516e+04 
       2.119792905060e-02       2.291383229414e+04 
       2.132320287026e-02       2.285600458981e+04 
       2.144857065387e-02       2.279760171875e+04 
       2.157403431063e-02       2.273861762711e+04 
       2.169959579607e-02       2.267908129109e+04 
       2.182525711314e-02       2.261904051152e+04 
       2.195102031340e-02       2.255841009454e+04 
       2.207688749820e-02       2.249730291956e+04 
       2.220286081988e-02       2.243564114659e+04 
       2.232894248309e-02       2.237352305763e+04 
       2.245513474608e-02       2.231090435425e+04 
       2.258143992205e-02       2.224781352193e+04 
       2.270786038052e-02       2.218426096097e+04 
       2.283439854884e-02       2.212023508931e+04 
       2.296105691360e-02       2.205583382683e+04 
       2.308783802220e-02       2.199097619487e+04 
       2.321474448446e-02       2.192572145419e+04 
       2.334177897420e-02       2.186000577663e+04 
       2.346894423098e-02       2.179397689374e+04 
       2.359624306182e-02       2.172755555922e+04 
       2.372367834301e-02       2.166071281327e+04 
       2.385125302200e-02       2.159354347851e+04 
       2.397897011927e-02       2.152603725782e+04 
       2.410683273038e-02       2.145815707935e+04 
       2.423484402799e-02       2.138994449834e+04 
       2.436300726402e-02       2.132149189670e+04 
       2.449132577181e-02       2.125266238650e+04 
       2.461980296844e-02       2.118350506965e+04 
       2.474844235707e-02       2.111412510555e+04 
       2.487724752938e-02       2.104441516857e+04 
       2.500622216807e-02       2.097449329429e+04 
       2.513537004952e-02       2.090429024268e+04 
       2.526469504644e-02       2.083381944251e+04 
       2.539420113073e-02       2.076311049685e+04 
       2.552389237634e-02       2.069218718053e+04 
       2.565377296229e-02       2.062100701696e+04 
       2.578384717577e-02       2.054961904232e+04 
       2.591411941543e-02       2.047804435058e+04 
       2.604459419464e-02       2.040624205066e+04 
       2.617527614504e-02       2.033431037353e+04 
