# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.454177048830e-10       4.264968786024e-15       3.393875020962e-13       0.000000000000e+00 
    3       1.357687686166e-10       5.369776715365e-15       3.846066191647e-13       0.000000000000e+00 
    4       1.273340534142e-10       4.544662869464e-15       3.598425667698e-13       0.000000000000e+00 
    5       1.211816375300e-10       2.963677981752e-15       3.056701156319e-13       0.000000000000e+00 
    6       1.170046176774e-10       1.633096699051e-15       2.453654029993e-13       0.000000000000e+00 
    7       1.143010059690e-10       8.959354845772e-16       1.922483060205e-13       0.000000000000e+00 
    8       1.126924547478e-10       6.047520334654e-16       1.519754650190e-13       0.000000000000e+00 
    9       1.119249186471e-10       4.974746412704e-16       1.255883151404e-13       0.000000000000e+00 
   10       1.117198193820e-10       4.208965188041e-16       1.115380440891e-13       0.000000000000e+00 
   11       1.119714790993e-10       3.481142338988e-16       1.069843726933e-13       0.000000000000e+00 
   12       1.125776817087e-10       3.005028362440e-16       1.088080612205e-13       0.000000000000e+00 
   13       1.134294479621e-10       2.872054691951e-16       1.142969678678e-13       0.000000000000e+00 
   14       1.145285922739e-10       2.974892256425e-16       1.214264074492e-13       0.000000000000e+00 
   15       1.157559349665e-10       3.194690364122e-16       1.290716409980e-13       0.000000000000e+00 
   16       1.171755460938e-10       3.519737627058e-16       1.367226605741e-13       0.000000000000e+00 
   17       1.186954954464e-10       4.010606991401e-16       1.442404567491e-13       0.000000000000e+00 
   18       1.203135007276e-10       4.714348237965e-16       1.518630971482e-13       0.000000000000e+00 
   19       1.220526378474e-10       5.628437240565e-16       1.598526995815e-13       0.000000000000e+00 
   20       1.238718221790e-10       6.728243343153e-16       1.684169618314e-13       0.000000000000e+00 
   21       1.257690804911e-10       8.007260750676e-16       1.775135310176e-13       0.000000000000e+00 
   22       1.277245299701e-10       9.462267487726e-16       1.869226896473e-13       0.000000000000e+00 
   23       1.297435224452e-10       1.109591217653e-15       1.962351091895e-13       0.000000000000e+00 
   24       1.318183395652e-10       1.291145762393e-15       2.049517170959e-13       0.000000000000e+00 
   25       1.339515040617e-10       1.491284417706e-15       2.128411123753e-13       0.000000000000e+00 
   26       1.361347336766e-10       1.710583129536e-15       2.197560779088e-13       0.000000000000e+00 
   27       1.383741403856e-10       1.950761678918e-15       2.255966369432e-13       0.000000000000e+00 
   28       1.406697018573e-10       2.213903935649e-15       2.303020853505e-13       0.000000000000e+00 
   29       1.430261018485e-10       2.501435705975e-15       2.339061665406e-13       0.000000000000e+00 
   30       1.454358400853e-10       2.814591432503e-15       2.365026367893e-13       0.000000000000e+00 
   31       1.478807867798e-10       3.154545613571e-15       2.381912906946e-13       0.000000000000e+00 
   32       1.503650567717e-10       3.522195840658e-15       2.389344102860e-13       0.000000000000e+00 
   33       1.528918119822e-10       3.918284947158e-15       2.386462309216e-13       0.000000000000e+00 
