# Matter power spectrum P(k) at redshift z=0
# for k=9.98377e-06 to 1.72123 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.983767387075e-06       5.623371604244e+01 
       2.212748022518e-05       1.211979731103e+02 
       3.430947257787e-05       1.850457318637e+02 
       4.655886982834e-05       2.484252242412e+02 
       5.890522840500e-05       3.117008931043e+02 
       7.137877012265e-05       3.751422939748e+02 
       8.401062324592e-05       4.389771309680e+02 
       9.683307314882e-05       5.034128458312e+02 
       1.098798254673e-04       5.686475924963e+02 
       1.231862846698e-04       6.348765953832e+02 
       1.367898509860e-04       7.022966725306e+02 
       1.507302386242e-04       7.711093791391e+02 
       1.650498181377e-04       8.415237491926e+02 
       1.797939856416e-04       9.137586877052e+02 
       1.950115612873e-04       9.880451751221e+02 
       2.107552189033e-04       1.064628390100e+03 
       2.270819479350e-04       1.143769885166e+03 
       2.440535476512e-04       1.225749540937e+03 
       2.617371519102e-04       1.310867828847e+03 
       2.802057804174e-04       1.399447741481e+03 
       2.995389091845e-04       1.491836766869e+03 
       3.198230485854e-04       1.588408729657e+03 
       3.411523117753e-04       1.689565462376e+03 
       3.636289490737e-04       1.795737786207e+03 
       3.873638150525e-04       1.907386323996e+03 
       4.124767245003e-04       2.025001247084e+03 
       4.390966413740e-04       2.149100956156e+03 
       4.673616319307e-04       2.280229618986e+03 
       4.974185006700e-04       2.418952564874e+03 
       5.294220174971e-04       2.565849608681e+03 
       5.635336395730e-04       2.721506240900e+03 
       5.999196354887e-04       2.886501437879e+03 
       6.387485371737e-04       3.061392717545e+03 
       6.801878807145e-04       3.246697679678e+03 
       7.244002539872e-04       3.442874070982e+03 
       7.715387465073e-04       3.650296853061e+03 
       8.217419898123e-04       3.869234500328e+03 
       8.751290732347e-04       4.099827962739e+03 
       9.317947021357e-04       4.342069237391e+03 
       9.918050123084e-04       4.595788253574e+03 
       1.055194446222e-03       4.860642597295e+03 
       1.121964024007e-03       5.136119442165e+03 
       1.192081209136e-03       5.421542274876e+03 
       1.265481396257e-03       5.716083297133e+03 
       1.342070869010e-03       6.018763054001e+03 
       1.421730923669e-03       6.328579142824e+03 
       1.504322757480e-03       6.644429857497e+03 
       1.589692690418e-03       6.965183133951e+03 
       1.677677321510e-03       7.289708109966e+03 
       1.768108298565e-03       7.616897466536e+03 
       1.860816480645e-03       7.945685399777e+03 
       1.955635374650e-03       8.275065192784e+03 
       2.052403815580e-03       8.604098271295e+03 
       2.150967926359e-03       8.931919364496e+03 
       2.251182435843e-03       9.257741596466e+03 
       2.352911455509e-03       9.580855096671e+03 
       2.456028821032e-03       9.900630702194e+03 
       2.560418099797e-03       1.021651192043e+04 
       2.665972353901e-03       1.052801459307e+04 
       2.772593733898e-03       1.083472026190e+04 
       2.880192963885e-03       1.113626895435e+04 
       2.988688764879e-03       1.143235725319e+04 
       3.098007251623e-03       1.172273231333e+04 
       3.208081328138e-03       1.200719402021e+04 
       3.318850099553e-03       1.228558193825e+04 
       3.430258311655e-03       1.255778416246e+04 
       3.542255825101e-03       1.282371435804e+04 
       3.654797127889e-03       1.308332862662e+04 
       3.767840887326e-03       1.333660591734e+04 
       3.881349541113e-03       1.358355332511e+04 
       3.995288926099e-03       1.382420359260e+04 
       4.109627942600e-03       1.405859585267e+04 
       4.224338251787e-03       1.428680621976e+04 
       4.339394003534e-03       1.450890088411e+04 
       4.454771592035e-03       1.472497339592e+04 
       4.570449436625e-03       1.493511649930e+04 
       4.686407785338e-03       1.513943630570e+04 
       4.802628538910e-03       1.533804129945e+04 
       4.919095093106e-03       1.553103649875e+04 
       5.035792197461e-03       1.571853992643e+04 
       5.152705828657e-03       1.590066460637e+04 
       5.269823076986e-03       1.607753624621e+04 
       5.387132044469e-03       1.624925251371e+04 
       5.504621753371e-03       1.641595310050e+04 
       5.622282063988e-03       1.657774344119e+04 
       5.740103600691e-03       1.673473558617e+04 
       5.858077685342e-03       1.688706845249e+04 
       5.976196277289e-03       1.703483258482e+04 
       6.094451919226e-03       1.717813916560e+04 
       6.212837688298e-03       1.731711124199e+04 
       6.331347151900e-03       1.745184619587e+04 
       6.449974327672e-03       1.758244293960e+04 
       6.568713647243e-03       1.770901487820e+04 
       6.687559923360e-03       1.783164962254e+04 
       6.806508320026e-03       1.795044016917e+04 
       6.925554325364e-03       1.806548143055e+04 
       7.044693726918e-03       1.817685346808e+04 
       7.163922589155e-03       1.828463568600e+04 
       7.283237232949e-03       1.838891653615e+04 
       7.402634216848e-03       1.848976826760e+04 
       7.522110319960e-03       1.858726059896e+04 
       7.641662526293e-03       1.868146676095e+04 
       7.761288010422e-03       1.877246676144e+04 
       7.880984124342e-03       1.886030636443e+04 
       8.000748385419e-03       1.894507438214e+04 
       8.120578465313e-03       1.902681829521e+04 
       8.240472179807e-03       1.910560589377e+04 
       8.360427479441e-03       1.918149986146e+04 
       8.480442440897e-03       1.925454622678e+04 
       8.600515259054e-03       1.932481311984e+04 
       8.720644239661e-03       1.939235757696e+04 
       8.840827792577e-03       1.945723099290e+04 
       8.961064425524e-03       1.951949337179e+04 
       9.081352738313e-03       1.957919094697e+04 
       9.201691417501e-03       1.963637198151e+04 
       9.322079231449e-03       1.969110271655e+04 
       9.442515025740e-03       1.974341965660e+04 
       9.562997718931e-03       1.979337935375e+04 
       9.683526298620e-03       1.984103456650e+04 
       9.804099817786e-03       1.988642417851e+04 
       9.924717391402e-03       1.992960088294e+04 
       1.004537819328e-02       1.997060354150e+04 
       1.016608145314e-02       2.000948917247e+04 
       1.028682645388e-02       2.004629763396e+04 
       1.040761252908e-02       2.008107100751e+04 
       1.052843906057e-02       2.011385469381e+04 
       1.064930547633e-02       2.014469293723e+04 
       1.077021124836e-02       2.017362423783e+04 
       1.089115589085e-02       2.020069759325e+04 
       1.101213895834e-02       2.022593673646e+04 
       1.113316004413e-02       2.024939540603e+04 
       1.125421877873e-02       2.027110408328e+04 
       1.137531482839e-02       2.029109340290e+04 
       1.149644789382e-02       2.030941751936e+04 
       1.161761770892e-02       2.032610349792e+04 
       1.173882403962e-02       2.034119061009e+04 
       1.186006668282e-02       2.035470025791e+04 
       1.198134546540e-02       2.036667438546e+04 
       1.210266024325e-02       2.037714385410e+04 
       1.222401090047e-02       2.038614073912e+04 
       1.234539734850e-02       2.039368564480e+04 
       1.246681952543e-02       2.039982868444e+04 
       1.258827739527e-02       2.040457169612e+04 
       1.270977094737e-02       2.040796581971e+04 
       1.283130019578e-02       2.041001572891e+04 
       1.295286517873e-02       2.041076470193e+04 
       1.307446595813e-02       2.041022036988e+04 
       1.319610261911e-02       2.040842525819e+04 
       1.331777526963e-02       2.040538470412e+04 
       1.343948404005e-02       2.040113727457e+04 
       1.356122908284e-02       2.039570199665e+04 
       1.368301057223e-02       2.038908910918e+04 
       1.380482870393e-02       2.038133072274e+04 
       1.392668369493e-02       2.037244615758e+04 
       1.404857578321e-02       2.036244899217e+04 
       1.417050522761e-02       2.035136934731e+04 
       1.429247230762e-02       2.033921431602e+04 
       1.441447732326e-02       2.032600749230e+04 
       1.453652059500e-02       2.031176808643e+04 
       1.465860246358e-02       2.029650713356e+04 
       1.478072329005e-02       2.028025303918e+04 
       1.490288345564e-02       2.026300541463e+04 
       1.502508336177e-02       2.024479359341e+04 
       1.514732343005e-02       2.022563494958e+04 
       1.526960410230e-02       2.020554940265e+04 
       1.539192584057e-02       2.018451720839e+04 
       1.551428912719e-02       2.016259392095e+04 
