# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.476782125290e-10       3.924033197137e-15       3.198272949306e-13       0.000000000000e+00 
    3       1.370672849199e-10       4.958704997308e-15       3.526478399250e-13       0.000000000000e+00 
    4       1.279759970477e-10       4.240365334370e-15       3.266439282783e-13       0.000000000000e+00 
    5       1.215940902077e-10       2.818922093599e-15       2.829198745692e-13       0.000000000000e+00 
    6       1.175047379328e-10       1.626128806102e-15       2.407631452349e-13       0.000000000000e+00 
    7       1.151039984137e-10       9.919206422041e-16       2.074325375385e-13       0.000000000000e+00 
    8       1.138617090991e-10       7.723859420362e-16       1.829897332185e-13       0.000000000000e+00 
    9       1.134785694244e-10       6.985739690969e-16       1.650319450103e-13       0.000000000000e+00 
   10       1.136940207946e-10       6.083005503319e-16       1.513093947906e-13       0.000000000000e+00 
   11       1.142714824410e-10       4.813976216565e-16       1.407360780810e-13       0.000000000000e+00 
   12       1.151689502987e-10       3.642271130766e-16       1.333216256374e-13       0.000000000000e+00 
   13       1.163011962223e-10       2.949860301903e-16       1.295957776850e-13       0.000000000000e+00 
   14       1.175612912508e-10       2.800592634627e-16       1.300242527299e-13       0.000000000000e+00 
   15       1.189082640768e-10       3.079280807414e-16       1.346518093181e-13       0.000000000000e+00 
   16       1.203975278564e-10       3.669323620419e-16       1.429070234693e-13       0.000000000000e+00 
   17       1.219008702853e-10       4.501809824763e-16       1.537564895960e-13       0.000000000000e+00 
   18       1.235074133262e-10       5.519956019085e-16       1.658964705914e-13       0.000000000000e+00 
   19       1.252267207171e-10       6.673565136964e-16       1.782693753817e-13       0.000000000000e+00 
   20       1.269616608580e-10       7.912541366192e-16       1.897925391276e-13       0.000000000000e+00 
   21       1.287366965244e-10       9.251254819466e-16       2.001181587414e-13       0.000000000000e+00 
   22       1.305817798740e-10       1.073353140702e-15       2.092061791438e-13       0.000000000000e+00 
   23       1.324883500782e-10       1.241103634160e-15       2.172438435476e-13       0.000000000000e+00 
   24       1.344168566750e-10       1.433702944012e-15       2.245509349404e-13       0.000000000000e+00 
   25       1.363808678418e-10       1.652757518570e-15       2.313932938494e-13       0.000000000000e+00 
   26       1.383955341809e-10       1.898456596201e-15       2.380036090490e-13       0.000000000000e+00 
   27       1.404699739842e-10       2.171022965047e-15       2.443419006003e-13       0.000000000000e+00 
   28       1.425922254176e-10       2.470348838266e-15       2.502497782947e-13       0.000000000000e+00 
   29       1.447352092674e-10       2.796069246078e-15       2.555215358399e-13       0.000000000000e+00 
   30       1.469046809353e-10       3.148423257107e-15       2.599308173512e-13       0.000000000000e+00 
   31       1.491064679029e-10       3.527697615240e-15       2.632064272937e-13       0.000000000000e+00 
   32       1.513377150831e-10       3.934360112466e-15       2.650789813899e-13       0.000000000000e+00 
   33       1.536055013130e-10       4.370343896706e-15       2.654840887575e-13       0.000000000000e+00 
   34       1.559127384393e-10       4.838262885934e-15       2.644343767124e-13       0.000000000000e+00 
   35       1.582556243783e-10       5.340680310704e-15       2.619594201129e-13       0.000000000000e+00 
   36       1.606358072333e-10       5.878642824276e-15       2.580740694486e-13       0.000000000000e+00 
   37       1.630507478721e-10       6.452639609732e-15       2.528014442897e-13       0.000000000000e+00 
   38       1.654893710885e-10       7.062973235059e-15       2.461826660970e-13       0.000000000000e+00 
   39       1.679381052887e-10       7.709845382334e-15       2.382514050762e-13       0.000000000000e+00 
   40       1.704036267118e-10       8.393682398433e-15       2.289445177831e-13       0.000000000000e+00 
   41       1.728963924221e-10       9.114897902972e-15       2.181627014914e-13       0.000000000000e+00 
   42       1.754240360842e-10       9.873796993012e-15       2.057934149074e-13       0.000000000000e+00 
   43       1.779910204824e-10       1.067067790777e-14       1.917289718122e-13       0.000000000000e+00 
   44       1.805983145049e-10       1.150618936243e-14       1.759298726648e-13       0.000000000000e+00 
   45       1.832430114179e-10       1.238107434450e-14       1.583795771928e-13       0.000000000000e+00 
   46       1.859179623374e-10       1.329607273486e-14       1.390673793530e-13       0.000000000000e+00 
   47       1.886114190889e-10       1.425192202646e-14       1.179886396387e-13       0.000000000000e+00 
   48       1.913116017603e-10       1.524925455355e-14       9.513895515778e-14       0.000000000000e+00 
