# Matter power spectrum P(k) at redshift z=0
# for k=9.84595e-06 to 1.58031 h/Mpc,
# number of wavenumbers equal to 553
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.845947253554e-06       5.829762320070e+01 
       2.198808740793e-05       1.265691507118e+02 
       3.416816815661e-05       1.936569317118e+02 
       4.641530191346e-05       2.602488561101e+02 
       5.875902929356e-05       3.267300869508e+02 
       7.122955326822e-05       3.933850898753e+02 
       8.385798000484e-05       4.604540520562e+02 
       9.667656926328e-05       5.281557759420e+02 
       1.097189972431e-04       5.966992535279e+02 
       1.230206348042e-04       6.662905411216e+02 
       1.366188439989e-04       7.371373429423e+02 
       1.505532958442e-04       8.094525348571e+02 
       1.648663121932e-04       8.834570090314e+02 
       1.796032344089e-04       9.593822177897e+02 
       1.948128212502e-04       1.037472579097e+03 
       2.105476778843e-04       1.117987757195e+03 
       2.268647171704e-04       1.201204960946e+03 
       2.438256532004e-04       1.287421229310e+03 
       2.614975254152e-04       1.376955715428e+03 
       2.799532492682e-04       1.470152016613e+03 
       2.992721861988e-04       1.567380333191e+03 
       3.195407213866e-04       1.669039632807e+03 
       3.408528321475e-04       1.775559527637e+03 
       3.633106226975e-04       1.887401782455e+03 
       3.870247921814e-04       2.005061365545e+03 
       4.121149923234e-04       2.129066587750e+03 
       4.387100190228e-04       2.259978290503e+03 
       4.669477693199e-04       2.398387754757e+03 
       4.969748825812e-04       2.544912424262e+03 
       5.289459744987e-04       2.700190019593e+03 
       5.630223674534e-04       2.864869490758e+03 
       5.993702248027e-04       3.039599285249e+03 
       6.381580141867e-04       3.225012648474e+03 
       6.795532603926e-04       3.421708988643e+03 
       7.237186046951e-04       3.630233417951e+03 
       7.708072647399e-04       3.851052878396e+03 
       8.209580817211e-04       4.084532268470e+03 
       8.742904381277e-04       4.330910528487e+03 
       9.308994118475e-04       4.590279251121e+03 
       9.908515797009e-04       4.862566362247e+03 
       1.054181876382e-03       5.147525184452e+03 
       1.120891843052e-03       5.444732933945e+03 
       1.190949467804e-03       5.753597174420e+03 
       1.264290648250e-03       6.073366062965e+03 
       1.340822126813e-03       6.403123153929e+03 
       1.420425596817e-03       6.741922074074e+03 
       1.502962579525e-03       7.088705235860e+03 
       1.588279641146e-03       7.442369906594e+03 
       1.676213550297e-03       7.801800598162e+03 
       1.766596053518e-03       8.165890132731e+03 
       1.859258046649e-03       8.533565134567e+03 
       1.954033021948e-03       8.903798965588e+03 
       2.050759759260e-03       9.275627179869e+03 
       2.149284296193e-03       9.648148447192e+03 
       2.249461255350e-03       1.002053906431e+04 
       2.351154628818e-03       1.039204589153e+04 
       2.454238126041e-03       1.076198898513e+04 
       2.558595186226e-03       1.112976085440e+04 
       2.664118744966e-03       1.149481605693e+04 
       2.770710830569e-03       1.185667575392e+04 
       2.878282050847e-03       1.221491524813e+04 
