# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.448422540469e-10       4.258094934925e-15       3.375094060561e-13       0.000000000000e+00 
    3       1.352105887177e-10       5.364934824208e-15       3.819023379613e-13       0.000000000000e+00 
    4       1.268142940960e-10       4.547325612316e-15       3.570863949460e-13       0.000000000000e+00 
    5       1.206947067550e-10       2.972168187970e-15       3.033824427929e-13       0.000000000000e+00 
    6       1.165365269699e-10       1.645491688932e-15       2.439946455816e-13       0.000000000000e+00 
    7       1.138322593559e-10       9.121108212320e-16       1.920365279085e-13       0.000000000000e+00 
    8       1.122205706095e-10       6.249796928830e-16       1.529632965630e-13       0.000000000000e+00 
    9       1.114396881276e-10       5.200250120865e-16       1.276284782170e-13       0.000000000000e+00 
   10       1.112087757802e-10       4.421335168197e-16       1.143642840260e-13       0.000000000000e+00 
   11       1.114433197613e-10       3.648697865431e-16       1.103219654668e-13       0.000000000000e+00 
   12       1.120409266863e-10       3.121908135848e-16       1.123685360521e-13       0.000000000000e+00 
   13       1.128690799054e-10       2.959054914825e-16       1.178400347143e-13       0.000000000000e+00 
   14       1.139569582844e-10       3.061975638774e-16       1.248541542814e-13       0.000000000000e+00 
   15       1.151995196296e-10       3.303009859814e-16       1.322604924540e-13       0.000000000000e+00 
   16       1.166075598910e-10       3.657967483242e-16       1.395485441375e-13       0.000000000000e+00 
   17       1.181591537867e-10       4.181679595282e-16       1.466855040182e-13       0.000000000000e+00 
   18       1.198115928985e-10       4.923278196462e-16       1.539533394682e-13       0.000000000000e+00 
   19       1.215819816228e-10       5.881861907176e-16       1.616221122770e-13       0.000000000000e+00 
   20       1.234494280551e-10       7.033957413176e-16       1.698951754761e-13       0.000000000000e+00 
   21       1.254121267728e-10       8.374821552285e-16       1.787068490170e-13       0.000000000000e+00 
   22       1.274446144195e-10       9.902966505031e-16       1.878182413012e-13       0.000000000000e+00 
   23       1.295568223846e-10       1.162082045702e-15       1.968893892538e-13       0.000000000000e+00 
   24       1.317469637602e-10       1.353086831436e-15       2.054963490462e-13       0.000000000000e+00 
   25       1.340091671486e-10       1.563802389026e-15       2.133144832274e-13       0.000000000000e+00 
   26       1.363232566484e-10       1.794914648857e-15       2.200622452047e-13       0.000000000000e+00 
   27       1.386973819210e-10       2.048003693221e-15       2.256725306476e-13       0.000000000000e+00 
   28       1.411326466807e-10       2.325104229033e-15       2.301700348148e-13       0.000000000000e+00 
   29       1.436160924116e-10       2.628270060060e-15       2.336026144510e-13       0.000000000000e+00 
   30       1.461525220142e-10       2.958664492899e-15       2.359779838863e-13       0.000000000000e+00 
   31       1.487416106439e-10       3.317101419751e-15       2.373049527109e-13       0.000000000000e+00 
   32       1.513743726483e-10       3.704333481684e-15       2.375850119918e-13       0.000000000000e+00 
   33       1.540558877322e-10       4.121294723735e-15       2.367220783218e-13       0.000000000000e+00 
   34       1.567886695862e-10       4.568935938391e-15       2.345780444000e-13       0.000000000000e+00 
   35       1.595685645888e-10       5.048173517123e-15       2.310144359725e-13       0.000000000000e+00 
   36       1.623949838325e-10       5.559946915921e-15       2.259608898577e-13       0.000000000000e+00 
   37       1.652625938815e-10       6.105174996594e-15       2.193697103793e-13       0.000000000000e+00 
   38       1.681575052417e-10       6.684736898618e-15       2.111980607233e-13       0.000000000000e+00 
   39       1.710638828342e-10       7.299439735688e-15       2.014164035115e-13       0.000000000000e+00 
   40       1.739885880564e-10       7.949915877766e-15       1.900366578223e-13       0.000000000000e+00 
   41       1.769434945669e-10       8.636685519921e-15       1.770940749987e-13       0.000000000000e+00 
   42       1.799384503805e-10       9.360177676661e-15       1.626407555495e-13       0.000000000000e+00 
   43       1.829800372143e-10       1.012079645726e-14       1.467231390241e-13       0.000000000000e+00 
   44       1.860680872301e-10       1.091915721027e-14       1.293039875780e-13       0.000000000000e+00 
   45       1.891975814272e-10       1.175591502744e-14       1.103175698404e-13       0.000000000000e+00 
   46       1.923591549024e-10       1.263169877230e-14       8.969036358970e-14       0.000000000000e+00 
   47       1.955387416459e-10       1.354711028599e-14       6.734046122182e-14       0.000000000000e+00 
   48       1.987225389869e-10       1.450265544823e-14       4.319106062135e-14       0.000000000000e+00 
   49       2.019143845580e-10       1.549851623401e-14       1.721682197341e-14       0.000000000000e+00 
   50       2.051226674027e-10       1.653471303784e-14      -1.059044310301e-14       0.000000000000e+00 
   51       2.083553542654e-10       1.761116304266e-14      -4.023459499558e-14       0.000000000000e+00 
   52       2.116199057975e-10       1.872767594876e-14      -7.171504198744e-14       0.000000000000e+00 
   53       2.149221687605e-10       1.988405884958e-14      -1.050309744063e-13       0.000000000000e+00 
   54       2.182629110906e-10       2.108047235096e-14      -1.401956309953e-13       0.000000000000e+00 
   55       2.216402498105e-10       2.231715858164e-14      -1.772254847293e-13       0.000000000000e+00 
   56       2.250504731667e-10       2.359434036051e-14      -2.161362629687e-13       0.000000000000e+00 
   57       2.284879139003e-10       2.491222150202e-14      -2.569430060840e-13       0.000000000000e+00 
   58       2.319448225186e-10       2.627098712148e-14      -2.996601260813e-13       0.000000000000e+00 
   59       2.354137990491e-10       2.767066242676e-14      -3.442953265621e-13       0.000000000000e+00 
   60       2.388960355859e-10       2.911065010575e-14      -3.908295806302e-13       0.000000000000e+00 
   61       2.423947673348e-10       3.059008585526e-14      -4.392325986072e-13       0.000000000000e+00 
   62       2.459128432494e-10       3.210796604871e-14      -4.894684114554e-13       0.000000000000e+00 
   63       2.494526860301e-10       3.366314324450e-14      -5.414952213136e-13       0.000000000000e+00 
   64       2.530162521237e-10       3.525432169422e-14      -5.952652520310e-13       0.000000000000e+00 
   65       2.566050374616e-10       3.688021532544e-14      -6.507332712600e-13       0.000000000000e+00 
   66       2.602201859333e-10       3.854007066694e-14      -7.078845902016e-13       0.000000000000e+00 
   67       2.638623324487e-10       4.023324696785e-14      -7.667127440592e-13       0.000000000000e+00 
   68       2.675315212288e-10       4.195906354746e-14      -8.272114350837e-13       0.000000000000e+00 
   69       2.712271670844e-10       4.371679984823e-14      -8.893746256686e-13       0.000000000000e+00 
   70       2.749480166950e-10       4.550569548886e-14      -9.531966314465e-13       0.000000000000e+00 
   71       2.786921098872e-10       4.732495031727e-14      -1.018672214384e-12       0.000000000000e+00 
   72       2.824575166121e-10       4.917366353141e-14      -1.085790576032e-12       0.000000000000e+00 
   73       2.862447976953e-10       5.105063739487e-14      -1.154515795554e-12       0.000000000000e+00 
   74       2.900549486512e-10       5.295453576492e-14      -1.224802787533e-12       0.000000000000e+00 
   75       2.938886451827e-10       5.488394037107e-14      -1.296603023734e-12       0.000000000000e+00 
   76       2.977462221697e-10       5.683734947695e-14      -1.369864486933e-12       0.000000000000e+00 
   77       3.016276526582e-10       5.881317654223e-14      -1.444531624744e-12       0.000000000000e+00 
   78       3.055325268484e-10       6.080974888447e-14      -1.520545303453e-12       0.000000000000e+00 
   79       3.094600310841e-10       6.282530634101e-14      -1.597842761846e-12       0.000000000000e+00 
   80       3.134093636160e-10       6.485806631115e-14      -1.676361720529e-12       0.000000000000e+00 
   81       3.173811112700e-10       6.690643483488e-14      -1.756053633333e-12       0.000000000000e+00 
   82       3.213760746221e-10       6.896882990025e-14      -1.836872663721e-12       0.000000000000e+00 
   83       3.253948397356e-10       7.104361821173e-14      -1.918771764004e-12       0.000000000000e+00 
   84       3.294377652377e-10       7.312911508144e-14      -2.001702706126e-12       0.000000000000e+00 
   85       3.335049693973e-10       7.522358432022e-14      -2.085616112447e-12       0.000000000000e+00 
   86       3.375963172013e-10       7.732523812884e-14      -2.170461486530e-12       0.000000000000e+00 
   87       3.417114074326e-10       7.943223698910e-14      -2.256187243917e-12       0.000000000000e+00 
   88       3.458495597469e-10       8.154268955502e-14      -2.342740742919e-12       0.000000000000e+00 
   89       3.500100870973e-10       8.365467681648e-14      -2.430067104065e-12       0.000000000000e+00 
