chain,n,H0,H0_std,S8,rs,chi2,dchi2
tier9_v3_shoes_wide_ocdm,1000,70.7,0.18,0.794,147.0,2813.0,-15.3
tier9_v3_shoes_optimal,1000,70.94,0.21,0.788,147.0,2814.1,-14.2
tier9_v3_shoes_minimal,1000,71.17,0.04,0.787,147.0,2816.0,-12.3
tier9_v3_shoes_fresh,1000,70.72,0.14,0.792,147.0,2816.9,-11.4
tier9_phenom_shoes,1000,69.48,0.17,0.821,147.0,2824.1,-4.2
tier9_lcdm_shoes,1000,68.25,0.11,0.834,147.0,2828.3,0.0
tier9_v3_shoes_verywide_ocdm,1000,71.67,0.29,0.764,147.0,2829.5,1.2
