internal_name,paper_name,model_type,k,n,H0,H0_std,S8,chi2,dchi2
tier9_lcdm_trgb,ΛCDM,LCDM,6,1000,68.12,0.13,0.827,2804.8,0.0
tier9_v3_trgb,ϕCDM (k=9),EDE,9,1000,70.06,0.09,0.808,2810.7,5.9
