internal_name,paper_name,model_type,k,n,H0,H0_std,S8,chi2,dchi2
tier9_v3_baseline_minimal,ϕCDM (k=8),EDE,8,1000,69.4,0.58,0.823,2807.4,-11.6
tier9_v3_baseline,ϕCDM (k=9),EDE,9,1000,70.24,0.19,0.807,2807.7,-11.3
tier9_phenom_baseline,w₀wₐCDM,CPL,8,1000,67.45,0.06,0.831,2814.9,-4.1
tier9_lcdm_baseline,ΛCDM,LCDM,6,1000,67.62,0.08,0.844,2819.0,0.0
