model,world,n_samples,h0_mean,h0_std,s8_mean,s8_std,best_chi2,delta_chi2,k,delta_aic,delta_bic
LCDM,SHOES,14191,68.2871928260165,0.37812826619084505,0.8245178778613206,0.007432156779770233,2797.0461,0.0,6,0.0,0.0
CPL,SHOES,6066,69.16915191147379,0.3181758850094445,0.8280435613419058,0.013823711396092364,2793.5376,-3.5084999999999127,8,0.4915000000000873,12.218033448019234
Geometric EDE,SHOES,12037,70.62166649655231,0.478061232120573,0.7976795864825124,0.009677344224336856,2808.6008,11.554700000000139,8,15.554700000000139,27.281233448019286
Geometric EDE,TRGB,3055,70.02549509001636,0.15818211926118955,0.8099715028346972,0.006823450178021287,2800.4513,3.40520000000015,8,7.40520000000015,19.131733448019297
Geometric EDE,BASE,3027,68.75502367591676,0.455108985019176,0.8333337685761479,0.011134385011988067,2799.2837,2.2375999999999294,8,6.237599999999929,17.964133448019076
