chain,n,H0,H0_std,S8,rs,chi2,dchi2
tier9_lcdm_trgb,1000,68.12,0.13,0.827,147.0,2804.8,0.0
tier9_v3_trgb,1000,70.06,0.09,0.808,147.0,2810.7,5.9
