Model,k,chi2_best,delta_chi2,AIC,BIC,delta_AIC,delta_BIC,H0,S8,interpretation
ΛCDM,6,2823.0,0.0,2835.0,2870.1796003440572,0.0,0.0,68.29,0.825,Reference
w₀wₐCDM,8,2819.7,-3.300000000000182,2835.7,2882.6061337920764,0.6999999999998181,12.4265334480192,69.17,0.828,"χ² gain, tensions intact"
Geometric EDE,8,2812.9,-10.099999999999909,2828.9,2875.8061337920767,-6.099999999999909,5.626533448019472,70.62,0.798,TRIPLE WIN: χ² + H₀ + S₈
